dataset,metric,extreme_support,non_extreme_support,cluster_count,interaction,ci95_low,ci95_high
EgoBody,W-MPJPE_mm,43,86,43,132.83446349228535,10.301961623875838,286.1036546966267
EgoBody,WA-MPJPE_mm,43,86,43,25.19939475428115,-12.89676068323681,68.56736735524578
EgoBody,IDF1,43,86,43,0.16613337912659112,0.10933932528970927,0.22404802876686702
EgoBody,Coverage,43,86,43,0.0,0.0,0.0
EgoHumans,W-MPJPE_mm,22,68,27,270.1235793100461,-13.662002116180796,611.7957748015709
EgoHumans,WA-MPJPE_mm,22,68,27,73.16742494432401,7.044996365059066,144.91646835985551
EgoHumans,IDF1,22,68,27,0.07248119503787993,-0.009577149488307589,0.1602237495302014
EgoHumans,Coverage,22,68,27,-0.016356627313368573,-0.08218598816158741,0.05180457669727937
Harmony4D,W-MPJPE_mm,25,63,25,28.746774347549785,-39.27517655999925,102.3769435240801
Harmony4D,WA-MPJPE_mm,25,63,25,73.23323572707505,35.132579311368104,114.52026215448457
Harmony4D,IDF1,25,63,25,0.16923411469003713,0.08315521565257085,0.2533247892615957
Harmony4D,Coverage,25,63,25,-0.006380952380952388,-0.012687581699346417,-0.0011851851851851915
Dataset-equal macro,W-MPJPE_mm,N/A,N/A,N/A,143.90160571662707,36.11616401504661,269.4742941434392
Dataset-equal macro,WA-MPJPE_mm,N/A,N/A,N/A,57.200018475226734,28.616301234786278,87.49510603143591
Dataset-equal macro,IDF1,N/A,N/A,N/A,0.13594956295150273,0.09223212470008657,0.17977953389794465
Dataset-equal macro,Coverage,N/A,N/A,N/A,-0.007579193231440321,-0.029429828693659513,0.015335830710314973
