case_id,true_first_post_index,first_positive_index,first_positive_offset_frames,category,raw_positive_count,off_boundary_positive_count,scored_transitions
mvh150_0001,75,75,0,exact,7,6,149
mvh150_0002,75,55,-20,early,6,5,149
mvh150_0003,75,75,0,exact,7,6,149
mvh150_0004,75,55,-20,early,8,7,149
mvh150_0005,75,56,-19,early,3,2,149
mvh150_0006,75,62,-13,early,6,5,149
mvh150_0007,75,75,0,exact,5,4,149
mvh150_0008,75,75,0,exact,9,8,149
mvh150_0009,75,75,0,exact,2,1,149
mvh150_0010,75,70,-5,early,9,8,149
mvh150_0011,75,75,0,exact,8,7,149
mvh150_0012,75,75,0,exact,5,4,149
mvh150_0013,75,20,-55,early,17,16,149
mvh150_0014,75,75,0,exact,13,12,149
mvh150_0015,75,75,0,exact,3,2,149
mvh150_0016,75,27,-48,early,4,3,149
mvh150_0017,75,27,-48,early,4,3,149
mvh150_0018,75,27,-48,early,10,9,149
mvh150_0019,75,27,-48,early,8,7,149
mvh150_0020,75,27,-48,early,5,4,149
mvh150_0021,75,28,-47,early,10,9,149
mvh150_0022,75,28,-47,early,15,14,149
mvh150_0023,75,28,-47,early,9,8,149
mvh150_0024,75,28,-47,early,12,11,149
mvh150_0025,75,28,-47,early,18,17,149
mvh150_0026,75,2,-73,early,11,10,149
mvh150_0027,75,2,-73,early,11,10,149
mvh150_0028,75,3,-72,early,19,18,149
mvh150_0029,75,2,-73,early,18,17,149
mvh150_0030,75,10,-65,early,10,9,149
mvh150_0031,75,4,-71,early,5,4,149
mvh150_0032,75,4,-71,early,6,5,149
mvh150_0033,75,3,-72,early,5,4,149
mvh150_0034,75,4,-71,early,5,4,149
mvh150_0035,75,2,-73,early,8,7,149
mvh150_0036,75,35,-40,early,3,2,149
mvh150_0037,75,35,-40,early,3,2,149
mvh150_0038,75,7,-68,early,10,9,149
mvh150_0039,75,35,-40,early,12,11,149
mvh150_0040,75,5,-70,early,9,8,149
mvh150_0041,75,3,-72,early,13,12,149
mvh150_0042,75,3,-72,early,12,11,149
mvh150_0043,75,23,-52,early,11,10,149
mvh150_0044,75,3,-72,early,22,21,149
mvh150_0045,75,75,0,exact,10,9,149
mvh150_0046,75,9,-66,early,7,6,149
mvh150_0047,75,9,-66,early,6,5,149
mvh150_0048,75,10,-65,early,11,10,149
mvh150_0049,75,9,-66,early,8,7,149
mvh150_0050,75,2,-73,early,11,10,149
