angle_stratum,method,display_name,boundary_mode,case_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,Accel_mm_frame2,RTE_H3R_percent,ATE_Sim3_m,ATE_SE3_m,Boundary_camera_t_m,Boundary_camera_R_deg,Boundary_root_m,Post_root_m,Seam_camera_t_m,Seam_camera_R_deg,IDF1,IDs,Coverage,Seam_root_m,CHRGE_m,Seam_CHRGE_m,Pair_vector_m,ROE_joint_proxy_deg,Jitter_H3R,Foot_sliding_cm,Detection_precision
small,m0_strict_human3r,Strict Human3R,none,43,223.36284203445427,182.13869266793148,71.03081417727122,43.27942151781949,78.14829189584061,26.132546765700933,40.337288748846206,0.0478196116161631,0.09328340017963903,0.6240140195842979,8.335649955041852,0.2591180038757999,0.2926621158127487,0.3068983008855597,0.6306393881159985,0.9653973044887485,0.11627906976744186,0.9906976744186047,0.25108282110953234,0.296062110902944,0.19245957116361645,0.2154740042889168,12.823969343082554,128.20225943224946,2.0700180145066347,0.9969111867470161
small,m0r_original_clean_reset,Original Human3R reset (oracle cut),oracle_cut,43,546.3546278720285,423.2431112668441,70.88372840982181,43.32505504736864,77.99646188265348,34.70477710705562,126.95444654619665,0.6055584638006167,0.8540062643366286,1.8513613153078865,20.207059853204363,0.9590021073995542,0.9670055635786031,1.7594071427893776,17.45816564865756,0.8768612202575654,0.46511627906976744,0.9906976744186047,0.9536106575673337,0.2835776729852165,0.2007542312728132,0.4177949354260186,17.637286940299784,176.08887372800325,2.4826379655195816,0.9969111867470161
small,m1_current_clean_reset,Bridge3R clean reset (oracle cut),oracle_cut,43,546.3546278720285,423.2431112668441,70.88372840982181,43.32505504736864,77.99646188265348,34.70477710705562,126.95444654619665,0.6055584638006167,0.8540062643366286,1.8513613153078865,20.207059853204363,0.9590021073995542,0.9670055635786031,1.7594071427893776,17.45816564865756,0.8768612202575654,0.46511627906976744,0.9906976744186047,0.9536106575673337,0.2835776729852165,0.2007542312728132,0.4177949354260186,17.637286940299784,176.08887372800325,2.4826379655195816,0.9969111867470161
small,m3_b0_only,Bridge3R B0 (oracle cut),oracle_cut,43,240.02615036770496,194.8865496653798,70.8837274188499,43.32505497535087,77.9964608224317,27.033733889874824,46.765834310392364,0.01757301794407889,0.11514206532950219,0.6330389235591705,8.516035297652367,0.3059719359870512,0.3274219759096443,0.3443535469675494,1.4191267850647822,0.8768612202575654,0.46511627906976744,0.9906976744186047,0.2938752358496375,0.28357766576443133,0.20075421234785631,0.21678317208476633,12.764554782302987,132.87500862522185,2.110934298907072,0.9969111867470161
small,m15_v17_gated_parent,Bridge3R runtime parent (oracle cut),oracle_cut,43,238.34287718427169,193.31311158432428,70.8837275563052,43.32505508580642,77.99646108437135,26.43593225351133,45.61422782359216,0.01764178338910434,0.13220999400788008,0.6883950368350418,9.397887782791976,0.3016120230998594,0.3232674223719949,0.4053387459500134,2.3760141128544103,0.989822061471645,0.023255813953488372,0.9906976744186047,0.2917571248810123,0.28502151943005116,0.2149414294300804,0.21289955971512808,13.186103631244062,129.76733103648476,2.084434486213763,0.9969111867470161
small,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),causal_detector,43,238.34287718427169,193.31311158432428,70.8837275563052,43.32505508580642,77.99646108437135,26.43593225351133,45.61422782359216,0.01764178338910434,0.13220999400788008,0.6883950368350418,9.397887782791976,0.3016120230998594,0.3232674223719949,0.4053387459500134,2.3760141128544103,0.989822061471645,0.023255813953488372,0.9906976744186047,0.2917571248810123,0.28502151943005116,0.2149414294300804,0.21289955971512808,13.186103631244062,129.76733103648476,2.084434486213763,0.9969111867470161
small,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",causal_detector,43,201.40445445065373,160.60041742334508,70.88372847625708,43.325055057813934,77.99646161098225,25.838426807704966,33.76319792849443,0.01695470018047326,0.090242521768394,0.6228995160236988,8.516035352851091,0.22050317085698318,0.24500112583155517,0.27144114554906745,1.4191178533030722,0.989822061471645,0.023255813953488372,0.9906976744186047,0.190508150826739,0.2835776617950618,0.20075420484604967,0.21678316813091963,12.764554924173066,126.28600149240125,2.0442108652106485,0.9969111867470161
medium,m0_strict_human3r,Strict Human3R,none,43,234.93236954286925,196.2085226480797,72.33585746011259,43.96793120287398,81.14153269609037,28.848390911186414,58.91160671606486,0.0723666868065887,0.11312586697339805,0.5896294993769993,6.3395490816268385,0.3247062308968002,0.31357674870498253,0.45264991731807924,1.2237918448503526,0.8877457475497351,0.4883720930232558,0.9771317829457364,0.3157776946715798,0.2744418448676619,0.2220123825986275,0.21673901024326112,10.970976784873287,141.8020376942807,2.2825487057332072,0.9991620067039464
medium,m0r_original_clean_reset,Original Human3R reset (oracle cut),oracle_cut,43,697.5399660631291,557.8432318328239,72.12137076368255,44.05331422381015,80.78585653786341,39.074164891123765,178.61625970090802,1.0606024792871593,1.682288703583217,3.4651937222549356,56.384869669823495,1.2168353223690183,1.2417089700199109,3.4049528374363707,55.534090968824486,0.8453998424240013,0.6511627906976745,0.9771317829457364,1.1966570516915516,0.2669878995178842,0.2480547701758107,0.9555283193902016,33.92627084877748,199.68827186811282,2.716336642389664,0.9991620067039464
medium,m1_current_clean_reset,Bridge3R clean reset (oracle cut),oracle_cut,43,697.5399660631291,557.8432318328239,72.12137076368255,44.05331422381015,80.78585653786341,39.074164891123765,178.61625970090802,1.0606024792871593,1.682288703583217,3.4651937222549356,56.384869669823495,1.2168353223690183,1.2417089700199109,3.4049528374363707,55.534090968824486,0.8453998424240013,0.6511627906976745,0.9771317829457364,1.1966570516915516,0.2669878995178842,0.2480547701758107,0.9555283193902016,33.92627084877748,199.68827186811282,2.716336642389664,0.9991620067039464
