epoch,source_epoch,learning_rate,loss_median,loss_global_average
1,0,5e-05,1.5131,2.2939
2,1,0.0001,1.2449,1.4855
3,2,0.00015,1.4828,1.3116
4,3,0.0002,1.2136,1.1896
5,4,0.0002,1.0088,1.1609
6,5,0.0002,0.9848,1.1111
7,6,0.000199,0.7957,0.8794
8,7,0.000198,0.8292,0.9472
9,8,0.000197,0.7375,0.9314
10,9,0.000196,0.7141,0.8484
11,10,0.000195,0.665,0.796
12,11,0.000193,0.6475,0.7494
13,12,0.000192,0.6764,0.6978
14,13,0.00019,0.6892,0.6245
15,14,0.000187,0.5952,0.6459
16,15,0.000185,0.5248,0.5406
17,16,0.000183,0.5315,0.5091
18,17,0.00018,0.5457,0.5467
19,18,0.000177,0.482,0.5248
20,19,0.000174,0.4729,0.4706
21,20,0.000171,0.5385,0.4869
22,21,0.000168,0.4837,0.4982
23,22,0.000164,0.4132,0.4856
24,23,0.00016,0.5282,0.4605
25,24,0.000157,0.4295,0.4294
26,25,0.000153,0.3118,0.3865
27,26,0.000149,0.3993,0.3937
28,27,0.000145,0.3798,0.3879
29,28,0.000141,0.3083,0.3722
30,29,0.000136,0.2841,0.3661
31,30,0.000132,0.31,0.3491
32,31,0.000128,0.1934,0.3324
33,32,0.000123,0.1892,0.2962
34,33,0.000119,0.2315,0.2761
35,34,0.000114,0.1591,0.2782
36,35,0.00011,0.1566,0.2437
37,36,0.000105,0.1607,0.2355
38,37,0.000101,0.1566,0.2234
39,38,9.6e-05,0.1295,0.2168
40,39,9.1e-05,0.1597,0.1996
41,40,8.7e-05,0.136,0.1768
42,41,8.2e-05,0.122,0.1669
43,42,7.8e-05,0.1114,0.1575
44,43,7.3e-05,0.1095,0.1599
45,44,6.9e-05,0.1081,0.1472
46,45,6.5e-05,0.1071,0.1369
47,46,6e-05,0.1093,0.1256
48,47,5.6e-05,0.0986,0.13
49,48,5.2e-05,0.0857,0.1174
50,49,4.8e-05,0.0919,0.1214
51,50,4.4e-05,0.0911,0.1134
52,51,4.1e-05,0.0833,0.11
53,52,3.7e-05,0.0829,0.1081
54,53,3.4e-05,0.0831,0.0992
55,54,3e-05,0.074,0.0963
56,55,2.7e-05,0.0732,0.0898
57,56,2.4e-05,0.0727,0.089
58,57,2.1e-05,0.0727,0.0865
59,58,1.8e-05,0.0675,0.0807
60,59,1.6e-05,0.0672,0.0797
61,60,1.4e-05,0.0653,0.0789
62,61,1.1e-05,0.0656,0.0775
63,62,9e-06,0.0652,0.0776
64,63,8e-06,0.0624,0.0753
65,64,6e-06,0.0635,0.0749
66,65,5e-06,0.0649,0.0751
67,66,4e-06,0.0627,0.0748
68,67,3e-06,0.0607,0.0737
69,68,2e-06,0.0601,0.0727
70,69,1e-06,0.0588,0.0739
71,70,1e-06,0.0581,0.0714
72,71,1e-06,0.0576,0.0711
