case_id,cluster,angle_stratum,internal_method,internal_method_key,metric,online,internal,internal_advantage
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,PA-MPJPE_mm,58.353883824632106,61.00521124833502,-2.6513274237029165
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,1096.5532107741212,1698.7506767237396,-602.1974659496184
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Anchor-root_mm,1057.947213123171,1678.0172243187785,-620.0700111956075
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Orientation_deg,43.45554681032107,36.48627740587923,6.969269404441839
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Seam-root_mm,410.46113594543266,1059.8313863204341,-649.3702503750014
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Seam-orientation_deg,39.33488719571037,69.55560097610422,-30.220713780393844
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Camera-rotation_deg,51.62607657608197,42.846930620338185,8.779145955743786
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Camera-translation_m,4.439371086630517,4.322906475739283,0.11646461089123417
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,87.08927435850069,64.32398074399181,22.765293614508877
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,6.19777641780484,5.327016513187946,0.8707599046168939
