line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
1,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,recording_20210907_S03_S04_01,,extreme,success,success,,555.4517273902893,3,1635.3144182441595,870.3197899359219,81.55403960343462,37.03487223926654,94.02664095014035,1636.82812327173,870.3197899359219,0.14830414784265572,0.27424648515587297,0.04446255436000734,1.0121397115443413,3.2833767846350606,74.19892104697503,2912.239567841864,0.7411167512690355,1.0,0.7366666666666667,0.7594501718213058,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line001/onlinehmr.evaluation.json,21262
2,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,recording_20210907_S03_S04_01,,medium,success,success,,560.486658334732,3,890.0793151659232,350.6029149571443,101.8203671265814,33.50572518747778,113.3735203124707,889.9952993194171,350.6029149571443,0.1164104022481515,0.15792948237945567,0.03604996080674535,0.5528412478873506,2.65161419081275,39.91963362727612,,0.4654300168634064,1.0,0.4666666666666667,0.4778156996587031,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line002/onlinehmr.evaluation.json,20783
3,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,recording_20210907_S03_S04_01,,small,success,success,,565.4599521160126,5,748.93633533032,382.9543547870118,100.88599582436957,40.17422332442751,112.66993656076981,746.3366946854293,382.9543547870118,0.07372509545263858,0.08168512644645075,0.0218006127983487,0.462370861892353,1.5169900319744047,33.645381384917926,274.5922624393415,0.5705128205128205,1.0,0.6,0.5555555555555556,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line003/onlinehmr.evaluation.json,20894
4,egobody_recording_20210911_S03_S08_01_extreme_kinect_13_kinect_11_b02141,recording_20210911_S03_S08_01,,extreme,success,success,,560.4626727104187,3,887.3778012057676,609.4628971628117,58.22650318787706,29.886066488491117,70.32376612451293,888.0272481741201,609.4628971628117,0.14761845931507275,0.34367518259211616,0.042196685022756475,0.5020219809426553,3.4266743937169664,37.57534557441013,1885.2786783357296,0.9427609427609428,3.0,0.9466666666666667,0.9659863945578231,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line004/onlinehmr.evaluation.json,21254
5,egobody_recording_20210911_S03_S08_01_medium_kinect_11_kinect_12_b02141,recording_20210911_S03_S08_01,,medium,success,success,,565.4547719955444,3,843.4592438568053,477.63324092015375,68.18023590767577,31.922101421436977,82.68089450313833,854.8089909389548,477.63324092015375,0.05928490520282338,0.14113374045881988,0.017844906056878225,0.2928183144761633,1.3268310866015782,21.53820460941199,,0.9425675675675675,1.0,0.9366666666666666,0.9623287671232876,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line005/onlinehmr.evaluation.json,20793
6,egobody_recording_20210911_S03_S08_01_small_kinect_13_kinect_12_b02141,recording_20210911_S03_S08_01,,small,success,success,,530.4410424232483,3,524.3802208126561,408.0546221060685,64.11895322407169,30.202683254985892,77.25321506374435,525.7496588920794,408.0546221060685,0.0919208069851858,0.22670777011786253,0.026377974752928024,0.2141993706309045,2.1026954665027664,16.193044025446966,1553.377559417606,0.9764309764309764,3.0,0.98,1.0,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line006/onlinehmr.evaluation.json,20875
7,egobody_recording_20210911_S03_S08_02_extreme_kinect_11_kinect_13_b03471,recording_20210911_S03_S08_02,,extreme,success,success,,520.4224739074707,3,1142.520967413939,584.3780500888088,76.3664194219631,37.24603448376664,91.36172142273156,1142.9004565277362,584.3780500888088,0.14766284315385456,0.3194287839111164,0.0426452708572122,0.5000307641986005,3.434913940040959,37.53562553365247,2459.7618651666653,0.8754208754208754,3.0,0.88,0.8979591836734694,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line007/onlinehmr.evaluation.json,21189
8,egobody_recording_20210911_S03_S08_02_medium_kinect_12_kinect_11_b03471,recording_20210911_S03_S08_02,,medium,success,success,,525.4617807865143,3,832.9027148889186,399.50572067805416,84.83627421857001,45.520430336161866,103.63405947666236,832.7742856555369,399.50572067805416,0.0585146006792463,0.15801591566732,0.016860458581240814,0.2934418655870657,1.365095298302395,21.34739865997904,,0.8465430016863407,1.0,0.8433333333333334,0.863481228668942,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line008/onlinehmr.evaluation.json,20803
9,egobody_recording_20210911_S03_S08_02_small_kinect_13_kinect_12_b03471,recording_20210911_S03_S08_02,,small,success,success,,520.4238398075104,3,589.7712514686891,364.9791321051132,71.89004625422457,36.67304044309834,86.68114407339327,590.2044718968357,364.9791321051132,0.09188416349062252,0.21387424457912663,0.02631934968778583,0.21448237594194397,2.085548491967762,16.14278690443404,1551.1420140083328,0.9645868465430016,3.0,0.97,0.9931740614334471,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line009/onlinehmr.evaluation.json,20913
10,egobody_recording_20210921_S05_S12_01_extreme_kinect_11_kinect_13_b02281,recording_20210921_S05_S12_01,,extreme,success,success,,515.4278252124786,3,873.2474684531386,401.3068620302614,73.13535263663934,36.1297749835849,85.958455406697,,401.3068620302614,0.09906790659291469,0.1023995772641154,,,,,,0.6498316498316499,2.0,0.65,0.6632653061224489,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line010/onlinehmr.evaluation.json,19873
11,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,recording_20210921_S05_S12_01,,medium,success,success,,530.4387631416321,4,420.31604419421586,359.8925694885497,61.458702064318565,34.72792388576305,72.937271288442,419.4209307563974,359.8925694885497,0.06308116137251785,0.21292191230590704,0.02228921407428199,0.2833790432836227,1.1420752860316452,20.577991489311696,630.6678172750264,0.5296052631578947,1.0,0.5433333333333333,0.5292207792207793,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line011/onlinehmr.evaluation.json,20978
12,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,recording_20210921_S05_S12_01,,small,success,success,,545.4427614212036,5,210.5726946178497,130.82018837815846,75.33562484911603,31.48569145766638,87.27856138525887,202.44953657773394,130.82018837815846,0.05015000769229517,0.0919750340035946,0.015061602900492108,0.059948460181995226,0.9387831238897296,3.8728664352029933,,0.4985507246376812,3.0,0.5866666666666667,0.4512820512820513,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line012/onlinehmr.evaluation.json,20801
13,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,recording_20210921_S05_S12_02,,extreme,success,success,,530.4297459125519,3,169.8888906040713,79.73278259088258,63.85653078886485,37.51976754122361,75.79992779807574,,79.73278259088258,0.10025549219798205,0.20773925997354278,,,,,,0.18983050847457628,0.0,0.18666666666666668,0.19310344827586207,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line013/onlinehmr.evaluation.json,19835
14,egobody_recording_20210921_S05_S12_02_medium_kinect_12_kinect_11_b01916,recording_20210921_S05_S12_02,,medium,success,success,,535.4339344501495,3,306.6492039417584,171.16437572988687,76.38090863966828,38.79909564418414,90.6005355475656,,171.16437572988687,0.06372894773436165,0.15906221248852162,,,,,,0.19798657718120805,0.0,0.19666666666666666,0.19932432432432431,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line014/onlinehmr.evaluation.json,19591
15,egobody_recording_20210921_S05_S12_02_small_kinect_13_kinect_12_b01916,recording_20210921_S05_S12_02,,small,success,success,,530.4344656467438,4,169.63331248605246,114.89767185950015,66.6607587128596,41.825329758447964,78.06364537161868,,114.89767185950015,0.04584884787392307,0.04611175143566096,,,,,,0.3130148270181219,0.0,0.31666666666666665,0.30944625407166126,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line015/onlinehmr.evaluation.json,19538
16,egobody_recording_20210921_S05_S12_03_extreme_kinect_11_kinect_13_b03356,recording_20210921_S05_S12_03,,extreme,success,success,,485.4185161590576,3,167.0860958408695,141.55159558451766,94.90670174158366,41.55760125576781,110.28201022033211,,141.55159558451766,0.09927496924374843,0.12462705313571938,,,,,,0.11447811447811448,0.0,0.11333333333333333,0.11564625850340136,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line016/onlinehmr.evaluation.json,19896
17,egobody_recording_20210921_S05_S12_03_medium_kinect_11_kinect_12_b03356,recording_20210921_S05_S12_03,,medium,success,success,,490.4018120765686,3,185.54927320491626,177.855672404632,79.81377501829216,34.741134111020976,96.21089292428627,,177.855672404632,0.05820312114918214,0.08430899404586001,,,,,,0.12416107382550336,0.0,0.12333333333333334,0.125,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line017/onlinehmr.evaluation.json,19577
18,egobody_recording_20210921_S05_S12_03_small_kinect_12_kinect_13_b03356,recording_20210921_S05_S12_03,,small,success,success,,490.3950252532959,3,255.92280420116205,178.84781023336916,86.52199920066684,41.60519279788664,98.32916474630436,249.43942664023356,178.84781023336916,0.04812129061166163,0.0905512489319731,0.016394159503504487,0.06534839499292905,0.927693394479766,3.886571839231015,,0.24283305227655985,1.0,0.24666666666666667,0.2525597269624573,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line018/onlinehmr.evaluation.json,20897
19,egobody_recording_20210929_S05_S16_01_extreme_kinect_11_kinect_13_b02576,recording_20210929_S05_S16_01,,extreme,success,success,,475.37483954429626,3,,,101.19863337969971,62.28711689268185,118.66527543710455,,62.287132765056576,0.10934590180817788,0.20102184558341624,,,,,,0.003367003367003367,0.0,0.0033333333333333335,0.003401360544217687,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line019/onlinehmr.evaluation.json,19574
20,egobody_recording_20210929_S05_S16_01_medium_kinect_11_kinect_12_b02576,recording_20210929_S05_S16_01,,medium,success,success,,475.3866708278656,3,,,101.19863306523757,62.28711661641354,118.66527205146777,,62.28713249026687,0.05278853007331639,0.07894156156524587,,,,,,0.003372681281618887,0.0,0.0033333333333333335,0.0034129692832764505,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line020/onlinehmr.evaluation.json,19272
21,egobody_recording_20210929_S05_S16_01_small_kinect_12_kinect_13_b02576,recording_20210929_S05_S16_01,,small,success,success,,480.38349056243896,3,,,,,,,,0.0632704268902629,0.11250424422350132,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line021/onlinehmr.evaluation.json,18328
22,egobody_recording_20210929_S05_S16_02_extreme_kinect_13_kinect_11_b02316,recording_20210929_S05_S16_02,,extreme,success,success,,480.3898415565491,3,2071.0183611334114,142.34978886184996,86.85099180764365,61.28294367547535,106.89618213821144,2069.730503789408,142.34978886184996,0.11082095926391321,0.11246256412103146,0.03429605644628952,0.5778030432566158,3.6318679971053642,42.246062430297336,,0.24957841483979765,0.0,0.24666666666666667,0.2525597269624573,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line022/onlinehmr.evaluation.json,20995
23,egobody_recording_20210929_S05_S16_02_medium_kinect_11_kinect_12_b02316,recording_20210929_S05_S16_02,,medium,success,success,,480.3950171470642,3,,,76.6520813873831,50.85105885288141,89.11785730707714,,156.42528517473244,0.05107400896120577,0.08127527678297118,,,,,,0.25295109612141653,0.0,0.25,0.25597269624573377,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line023/onlinehmr.evaluation.json,19353
24,egobody_recording_20210929_S05_S16_02_small_kinect_12_kinect_13_b02316,recording_20210929_S05_S16_02,,small,success,success,,485.4061121940613,3,327.19427487956045,232.4708334292323,75.63547601955817,54.698653622771154,93.46354741497318,325.65523417229275,232.4708334292323,0.06248862561742309,0.11238360154065759,0.019484638103776965,0.2339495991727841,1.4333575334330264,17.309780465291002,524.4867549808869,0.49328859060402686,1.0,0.49666666666666665,0.5033783783783784,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line024/onlinehmr.evaluation.json,20963
25,egobody_recording_20210929_S05_S16_03_extreme_kinect_11_kinect_13_b01076,recording_20210929_S05_S16_03,,extreme,success,success,,485.40623450279236,3,,,,,,,,0.10947628822428489,0.1938618414540345,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line025/onlinehmr.evaluation.json,18636
26,egobody_recording_20210929_S05_S16_03_medium_kinect_11_kinect_12_b01076,recording_20210929_S05_S16_03,,medium,success,success,,495.40174865722656,3,,,,,,,,0.05080243566660504,0.08735879861998039,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line026/onlinehmr.evaluation.json,18343
27,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,recording_20210929_S05_S16_03,,small,success,success,,480.3943119049072,3,,,,,,,,0.061070354997417246,0.061579681652082205,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line027/onlinehmr.evaluation.json,18340
