angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
,case-macro,W-MPJPE_mm,1042.4885857816857,888.7367043544143,1200.30821389695,97,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,WA-MPJPE_mm,454.25640074101915,397.25174213334657,512.8052401635215,97,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,MPJPE_mm,97.21771372042124,89.17509315067225,105.92099917317675,111,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,PA-MPJPE_mm,48.303119421154975,44.307360274924854,52.60313099043543,111,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,MPVPE_mm,118.43249968258385,108.33601458383428,129.27453172170402,111,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,AdapterShared-W-MPJPE_mm,1111.3582437358914,948.52295579319,1282.2848466801115,85,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,AdapterShared-WA-MPJPE_mm,420.5104519433886,366.4744915857487,476.1333290013606,111,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,ATE-Sim3_m,0.2590303001299492,0.16821374384448595,0.3685634242318215,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,ATE-SE3_m,0.4452636928946267,0.3109551128929358,0.5990002028004942,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,RPE-translation_m,0.03741540527263422,0.03330006496455819,0.04180390866806193,85,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,RPE-rotation_deg,0.6670474359304295,0.5676225030313631,0.7730461712967233,85,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Camera-seam-translation_m,3.3712957218409163,2.9152289485960576,3.846354407976907,85,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Camera-seam-rotation_deg,55.877123490403726,45.965729071388324,66.49837786621029,85,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Human-seam_mm,1410.556088186404,1114.99215467565,1721.6727864290972,26,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,IDF1,0.37464803818875203,0.32513611897551703,0.42456537962600305,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,IDs,5.705426356589148,3.604651162790698,8.069961240310075,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Coverage,0.4235142118863049,0.3687080103359173,0.4777519379844961,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Precision,0.40397948045535065,0.35173646580001117,0.4553000166263108,129,129,10000,20260903,finite clusters only; no missing-geometry imputation
,independent-unit-macro,W-MPJPE_mm,961.2046047557473,761.4774544386116,1171.1767762839047,37,43,10000,20260903,finite clusters only; no missing-geometry imputation
