line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
3,ego_test_badminton_001_badminton_small_cam06_cam02_b00301,001_badminton,badminton,small,success,success,,705.5997717380524,25,,,,,,,,0.31242860326396604,0.9306558424080659,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line003/onlinehmr.evaluation.json,10273
5,ego_test_badminton_005_badminton_large_cam11_cam15_b00326,005_badminton,badminton,large,success,success,,700.5686666965485,13,,,,,,,,1.275028363709832,6.527610595547179,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line005/onlinehmr.evaluation.json,10253
9,ego_test_basketball_001_basketball_large_cam05_cam01_b00301,001_basketball,basketball,large,success,invalid_output,prediction_conversion_failed: exit_status=1,595.4910554885864,10,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line009/onlinehmr.evaluation.json,9267
12,ego_test_basketball_002_basketball_extreme_cam04_cam05_b00301,002_basketball,basketball,extreme,success,success,,545.4782059192657,12,,,,,,,,7.182270408151073,9.128130825169613,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line012/onlinehmr.evaluation.json,10277
16,ego_test_basketball_003_basketball_medium_cam03_cam01_b00286,003_basketball,basketball,medium,success,success,,475.3812892436981,13,,,,,,,,4.3956231024149846,5.980838954353885,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line016/onlinehmr.evaluation.json,10269
17,ego_test_basketball_003_basketball_small_cam03_cam06_b00286,003_basketball,basketball,small,success,success,,495.3973722457886,9,,,,,,,,2.587866069461602,3.5162837183657336,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line017/onlinehmr.evaluation.json,10274
50,ego_test_tagging_005_tagging_extreme_cam05_cam06_b00221,005_tagging,tagging,extreme,failed,inference_failed,nonfinite_camera_trajectory,700.5811915397644,8,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line050/onlinehmr.evaluation.json,8933
59,ego_test_tagging_007_tagging_large_cam08_cam07_b00359,007_tagging,tagging,large,failed,inference_failed,nonfinite_camera_trajectory,600.4935593605042,7,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line059/onlinehmr.evaluation.json,8927
69,ego_test_tennis_004_tennis_extreme_cam15_cam05_b00601,004_tennis,tennis,extreme,success,success,,510.43948698043823,5,,,,,,,,4.163684706867684,10.796300708106774,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line069/onlinehmr.evaluation.json,10123
70,ego_test_tennis_004_tennis_large_cam01_cam07_b00601,004_tennis,tennis,large,success,success,,500.4017765522003,5,,,,,,,,4.100635398497936,9.198561133502293,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line070/onlinehmr.evaluation.json,10107
71,ego_test_tennis_004_tennis_medium_cam02_cam15_b00601,004_tennis,tennis,medium,success,success,,530.430415391922,8,,,,,,,,9.014849298061877,11.577773434441754,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line071/onlinehmr.evaluation.json,10119
72,ego_test_tennis_005_tennis_large_cam01_cam07_b00601,005_tennis,tennis,large,success,success,,480.4199423789978,5,,,,,,,,5.638682730547068,9.222456518072212,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line072/onlinehmr.evaluation.json,10111
73,ego_test_tennis_005_tennis_medium_cam02_cam15_b00601,005_tennis,tennis,medium,success,success,,510.4211845397949,9,,,,,,,,4.01620651935897,11.564755452155241,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line073/onlinehmr.evaluation.json,10119
74,ego_test_tennis_005_tennis_small_cam10_cam09_b00601,005_tennis,tennis,small,success,success,,505.39272451400757,4,,,,,,,,2.2298953132940467,2.331913959419779,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line074/onlinehmr.evaluation.json,10117
75,ego_test_tennis_006_tennis_extreme_cam15_cam05_b00651,006_tennis,tennis,extreme,success,success,,505.4443984031677,13,,,,,,,,9.590335999905237,10.827484363585608,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line075/onlinehmr.evaluation.json,10117
76,ego_test_tennis_006_tennis_large_cam01_cam07_b00651,006_tennis,tennis,large,success,success,,470.41062211990356,6,,,,,,,,6.497257566418738,9.221383147647927,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line076/onlinehmr.evaluation.json,10097
77,ego_test_tennis_007_tennis_small_cam09_cam10_b00776,007_tennis,tennis,small,success,success,,470.39861249923706,3,,,,,,,,1.927823059991517,2.3268505292128583,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line077/onlinehmr.evaluation.json,10107
78,ego_test_tennis_008_tennis_large_cam01_cam07_b00601,008_tennis,tennis,large,success,success,,505.42977929115295,6,,,,,,,,6.54567303251104,9.217213810631678,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line078/onlinehmr.evaluation.json,10097
79,ego_test_tennis_008_tennis_medium_cam11_cam07_b00601,008_tennis,tennis,medium,success,success,,615.5034506320953,6,,,,,,,,6.550112662284414,7.137500183545349,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt03/line079/onlinehmr.evaluation.json,10111
80,ego_test_tennis_009_tennis_extreme_cam05_cam15_b00601,009_tennis,tennis,extreme,success,success,,555.4490873813629,7,,,,,,,,7.157508284584843,10.81612059884116,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line080/onlinehmr.evaluation.json,10119
81,ego_test_tennis_009_tennis_large_cam01_cam07_b00601,009_tennis,tennis,large,success,success,,560.4591581821442,7,,,,,,,,8.131710976851073,9.225705876902662,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line081/onlinehmr.evaluation.json,10105
82,ego_test_tennis_009_tennis_small_cam09_cam10_b00601,009_tennis,tennis,small,success,success,,590.4709086418152,9,,,,,,,,1.652226056101672,2.323872751478879,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line082/onlinehmr.evaluation.json,10119
85,ego_test_volleyball_002_volleyball_extreme_cam09_cam02_b00301,002_volleyball,volleyball,extreme,success,success,,685.5740756988525,19,,,,,,,,8.19085915093135,9.484792058098396,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line085/onlinehmr.evaluation.json,10274
86,ego_test_volleyball_002_volleyball_medium_cam06_cam12_b00301,002_volleyball,volleyball,medium,success,success,,800.6511280536652,22,,,,,,,,0.48502639948830256,1.5727471638688686,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line086/onlinehmr.evaluation.json,10279
