line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
34,h4d_test_05_sword2_009_sword2_large_cam12_cam13_b00521,009_sword2,05_sword2,large,success,success,,805.667932510376,5,,,,,,,,2.2874831167152188,2.7186866651914254,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line034/onlinehmr.evaluation.json,10584
36,h4d_test_05_sword2_009_sword2_small_cam12_cam15_b00521,009_sword2,05_sword2,small,success,success,,855.7242434024811,4,,,,,,,,0.05041779939006273,0.09219524090189557,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line036/onlinehmr.evaluation.json,10606
37,h4d_test_05_sword2_010_sword2_extreme_cam02_cam14_b00601,010_sword2,05_sword2,extreme,success,success,,1201.002649307251,5,,,,,,,,3.248499323739696,3.8191440538607577,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line037/onlinehmr.evaluation.json,10577
39,h4d_test_05_sword2_010_sword2_medium_cam02_cam07_b00601,010_sword2,05_sword2,medium,success,success,,1246.0412755012512,7,,,,,,,,1.2324591594166205,1.4433117524597183,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line039/onlinehmr.evaluation.json,10591
40,h4d_test_05_sword2_010_sword2_small_cam12_cam15_b00601,010_sword2,05_sword2,small,success,success,,1266.0769438743591,4,,,,,,,,0.04903680255949792,0.1530898453407166,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line040/onlinehmr.evaluation.json,10606
43,h4d_test_06_sword3_001_sword3_medium_cam12_cam14_b00301,001_sword3,06_sword3,medium,success,success,,1055.8981642723083,6,,,,,,,,1.5320771733749774,1.7637872197221873,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line043/onlinehmr.evaluation.json,10588
46,h4d_test_06_sword3_002_sword3_large_cam18_cam20_b00301,002_sword3,06_sword3,large,success,success,,1566.3523902893066,6,,,,,,,,1.1365567986473017,2.7383581875322016,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line046/onlinehmr.evaluation.json,10580
47,h4d_test_06_sword3_002_sword3_medium_cam12_cam14_b00301,002_sword3,06_sword3,medium,success,success,,1536.3600416183472,5,,,,,,,,1.5943779784317937,1.7622930413939757,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line047/onlinehmr.evaluation.json,10586
59,h4d_test_06_sword3_005_sword3_medium_cam12_cam14_b00301,005_sword3,06_sword3,medium,success,success,,1541.3023045063019,7,,,,,,,,1.4385033516571186,1.7584548609842334,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line059/onlinehmr.evaluation.json,10584
65,h4d_test_08_ballroom2_007_ballroom2_extreme_cam06_cam14_b00301,007_ballroom2,08_ballroom2,extreme,success,success,,940.7809793949127,14,,,,,,,,0.4008496977680718,0.41629100963440363,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line065/onlinehmr.evaluation.json,10637
