dataset,method_key,method,scope,formal_case_n,cluster_n,aggregation,inference_attempt_n,inference_failure_n,status_counts,coverage_denominator_n,idf1_denominator_n,source,source_sha256,W-MPJPE_mm_support_n,W-MPJPE_mm_mean,WA-MPJPE_mm_support_n,WA-MPJPE_mm_mean,MPJPE_mm_support_n,MPJPE_mm_mean,PA-MPJPE_mm_support_n,PA-MPJPE_mm_mean,MPVPE_mm_support_n,MPVPE_mm_mean,Accel_mm_frame2_support_n,Accel_mm_frame2_mean,ATE-Sim3_m_support_n,ATE-Sim3_m_mean,ATE-SE3_m_support_n,ATE-SE3_m_mean,IDF1_support_n,IDF1_mean,Coverage_support_n,Coverage_mean,Precision_support_n,Precision_mean,Detection_precision_support_n,Detection_precision_mean
EgoHumans-CS100,m0_strict_human3r,Strict Human3R,internal formal,90,27,case macro; paired statistics clustered by capture,90,0,internal_complete:90,90,90,Movie3R/output/v19_egohumans/test/summary/case_metrics.csv,92cfcad70dfd9e650babd38eb25fbe4809c819c93b5748a31fb37fbe460d8488,90,1005.091333,90,365.708982,90,107.610037,90,68.165374,90,126.399688,90,158.083381,90,0.546957,90,1.673361,90,0.471431,90,0.638784,90,0.688477,90,0.688477
EgoHumans-CS100,v19_egohumans_frozen,BRIDGE3R,internal formal,90,27,case macro; paired statistics clustered by capture,90,0,internal_complete:90,90,90,Movie3R/output/v19_egohumans/test/summary/case_metrics.csv,92cfcad70dfd9e650babd38eb25fbe4809c819c93b5748a31fb37fbe460d8488,90,866.827787,90,336.857612,90,108.546607,90,68.693105,90,127.836936,90,139.748757,90,0.032287,90,1.423208,90,0.570955,90,0.615684,90,0.660236,90,0.660236
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),external executable,90,27,case macro; paired statistics clustered by capture,90,51,inference_failed:51;success:39,90,90,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,dce565752e8e5e14afd48e2e3e6ca6155e5118be4c08219b2097ed8b5715d535,17,1148.405809,25,486.860035,25,199.277394,25,94.970378,25,238.712357,0,,39,0.734281,39,11.487663,90,0.060604,90,0.061008,90,0.077984,0,0.000000
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),external executable,90,27,case macro; paired statistics clustered by capture,90,51,inference_failed:51;success:39,90,90,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,dce565752e8e5e14afd48e2e3e6ca6155e5118be4c08219b2097ed8b5715d535,17,1193.317771,25,487.671880,25,197.935175,25,94.831516,25,235.355805,0,,39,0.704264,39,11.481688,90,0.061419,90,0.062223,90,0.079607,0,0.000000
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),external executable,90,27,case macro; paired statistics clustered by capture,90,10,failed:10;success:80,90,90,Movie3R/output/v19_egohumans/final/external_baseline_case_metrics.csv,dce565752e8e5e14afd48e2e3e6ca6155e5118be4c08219b2097ed8b5715d535,43,2464.561413,59,749.538907,59,276.292860,59,117.217954,59,340.739254,0,,0,,0,,90,0.069646,90,0.072056,90,0.133352,0,0.000000
Harmony4D-CS150,m0_strict_human3r,Strict Human3R,internal formal,88,25,case macro; paired statistics clustered by capture,88,0,internal_complete:88,88,88,Movie3R/output/v17_harmony4d/unified_half_translation_audit/paper/case_metrics.csv,afb6f38d9a9b9fdeecdbf7031b0f08569168c8a8d67eef4a3bdbf355bd163374,88,496.601456,88,259.607644,88,98.298954,88,65.657775,88,116.715533,88,96.164915,88,0.141982,88,0.444545,88,0.552707,88,0.915303,88,0.586282,88,0.586282
Harmony4D-CS150,bridge3r_unified_half_translation,BRIDGE3R,internal formal,88,25,case macro; paired statistics clustered by capture,88,0,internal_complete:88,88,88,Movie3R/output/v17_harmony4d/unified_half_translation_audit/paper/case_metrics.csv,afb6f38d9a9b9fdeecdbf7031b0f08569168c8a8d67eef4a3bdbf355bd163374,88,519.554253,88,246.986583,88,97.931864,88,65.539895,88,116.081627,88,93.227053,88,0.016800,88,0.223298,88,0.636105,88,0.912538,88,0.584263,88,0.584263
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),external executable,88,25,case macro; paired statistics clustered by capture,88,12,inference_failed:12;success:76,88,88,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,aaf23268d5c590c3dc2558dce3fa2a844198516ce351d78e8e00dbd9382f9034,5,957.696111,25,297.237202,25,233.712535,25,98.020003,25,289.671743,0,,76,0.471003,76,2.835869,88,0.028811,88,0.031174,88,0.028879,0,0.000000
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),external executable,88,25,case macro; paired statistics clustered by capture,88,12,inference_failed:12;success:76,88,88,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,aaf23268d5c590c3dc2558dce3fa2a844198516ce351d78e8e00dbd9382f9034,5,963.159303,26,306.894642,26,246.194327,26,100.379656,26,300.899969,0,,76,0.477642,76,2.833707,88,0.030321,88,0.033712,88,0.030626,0,0.000000
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),external executable,88,25,case macro; paired statistics clustered by capture,88,0,success:88,88,88,data/Harmony4D_work_v17_full_test/external_predictions/harmony4d_external_aggregate/external_baseline_case_metrics.csv,aaf23268d5c590c3dc2558dce3fa2a844198516ce351d78e8e00dbd9382f9034,4,677.085468,26,270.230409,26,349.373372,26,124.531030,26,451.248600,0,,0,,0,,88,0.015781,88,0.016061,88,0.020300,0,0.000000
