dataset,external_method_key,external_method,reference_method,metric,formal_case_n,paired_support_n,external_mean,bridge3r_same_cases_mean,external_minus_bridge3r,case_id_manifest
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,W-MPJPE_mm,90,17,1148.405809,526.427864,621.977945,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,WA-MPJPE_mm,90,25,486.860035,301.206529,185.653506,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,MPJPE_mm,90,25,199.277394,110.207888,89.069507,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,PA-MPJPE_mm,90,25,94.970378,66.445711,28.524667,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,MPVPE_mm,90,25,238.712357,127.688126,111.024231,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,ATE-Sim3_m,90,39,0.734281,0.019351,0.714930,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,ATE-SE3_m,90,39,11.487663,0.933855,10.553808,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,W-MPJPE_mm,90,17,1193.317771,526.427864,666.889907,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,WA-MPJPE_mm,90,25,487.671880,301.206529,186.465351,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,MPJPE_mm,90,25,197.935175,110.207888,87.727287,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,PA-MPJPE_mm,90,25,94.831516,66.445711,28.385804,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,MPVPE_mm,90,25,235.355805,127.688126,107.667679,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,ATE-Sim3_m,90,39,0.704264,0.019351,0.684913,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,ATE-SE3_m,90,39,11.481688,0.933855,10.547834,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,W-MPJPE_mm,90,43,2464.561413,758.216194,1706.345219,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,WA-MPJPE_mm,90,59,749.538907,340.246700,409.292208,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,MPJPE_mm,90,59,276.292860,114.316921,161.975939,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,PA-MPJPE_mm,90,59,117.217954,70.520504,46.697449,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,MPVPE_mm,90,59,340.739254,133.686213,207.053040,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,ATE-Sim3_m,90,0,,,,egohumans_cs100_formal_case_ids.txt
EgoHumans-CS100,trace_official_adapted,TRACE (official adapter),BRIDGE3R,ATE-SE3_m,90,0,,,,egohumans_cs100_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,W-MPJPE_mm,88,5,957.696111,359.732769,597.963342,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,WA-MPJPE_mm,88,25,297.237202,233.800573,63.436628,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,MPJPE_mm,88,25,233.712535,99.740480,133.972055,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,PA-MPJPE_mm,88,25,98.020003,65.676573,32.343430,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,MPVPE_mm,88,25,289.671743,118.358228,171.313515,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,ATE-Sim3_m,88,76,0.471003,0.017332,0.453671,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_nospec,PromptHMR (no-SPEC adapter),BRIDGE3R,ATE-SE3_m,88,76,2.835869,0.221362,2.614508,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,W-MPJPE_mm,88,5,963.159303,359.732769,603.426535,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,WA-MPJPE_mm,88,26,306.894642,233.226945,73.667697,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,MPJPE_mm,88,26,246.194327,100.166553,146.027774,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,PA-MPJPE_mm,88,26,100.379656,66.176711,34.202945,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,MPVPE_mm,88,26,300.899969,118.602190,182.297779,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,ATE-Sim3_m,88,76,0.477642,0.017332,0.460310,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,prompthmr_spec,PromptHMR (official SPEC),BRIDGE3R,ATE-SE3_m,88,76,2.833707,0.221362,2.612346,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,W-MPJPE_mm,88,4,677.085468,254.189720,422.895749,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,WA-MPJPE_mm,88,26,270.230409,216.668821,53.561588,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,MPJPE_mm,88,26,349.373372,104.217162,245.156210,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,PA-MPJPE_mm,88,26,124.531030,67.775551,56.755479,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,MPVPE_mm,88,26,451.248600,123.559558,327.689041,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,ATE-Sim3_m,88,0,,,,harmony4d_cs150_formal_case_ids.txt
Harmony4D-CS150,trace_official_adapted,TRACE (official adapter),BRIDGE3R,ATE-SE3_m,88,0,,,,harmony4d_cs150_formal_case_ids.txt
