split,method,display_name,accepted_case_count,worst_case_id,worst_accepted_W_ratio,worst_accepted_W_harm_percent
development,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),195,egobody_recording_20210907_S02_S01_01_extreme_kinect_11_kinect_13_b02196,1.0,0.0
development,v17_harmony_multicue_safe,Bridge3R-v17 MultiCue-Safe,168,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,1.5242240735364956,52.42240735364956
development,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",195,egobody_recording_20211004_S19_S06_03_medium_kinect_13_kinect_12_b03986,1.2403872570444638,24.038725704446385
development,v20_gate_r015_t050_b050,v20_gate_r015_t050_b050,51,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,1.1478685230600572,14.786852306005716
development,v20_gate_r025_t075_b050,v20_gate_r025_t075_b050,132,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,1.1591042668202642,15.910426682026424
development,v20_gate_r025_t100_b100,v20_gate_r025_t100_b100,157,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,1.456635720598381,45.66357205983811
development,v20_gate_vel_r025_t075_b050,v20_gate_vel_r025_t075_b050,132,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,1.1796593811681406,17.965938116814062
holdout,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),48,egobody_recording_20210921_S11_S10_01_extreme_kinect_11_kinect_13_b01526,1.0,0.0
holdout,v17_harmony_multicue_safe,Bridge3R-v17 MultiCue-Safe,45,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,1.2076290502618499,20.762905026184985
holdout,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",48,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,1.1517496472428785,15.174964724287854
holdout,v20_gate_r025_t075_b050,v20_gate_r025_t075_b050,32,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,1.1517496472428785,15.174964724287854
holdout,v20_gate_vel_r025_t075_b050,v20_gate_vel_r025_t075_b050,33,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,1.1547180235654257,15.471802356542575
test,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),129,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,1.0,0.0
test,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",129,egobody_recording_20211004_S20_S12_01_extreme_kinect_13_kinect_11_b02766,1.6673457126627507,66.73457126627507
