dataset,angle_stratum,metric,estimate_bridge3r_benefit,ci95_low,ci95_high,onlinehmr_mean_on_shared_support,bridge3r_mean_on_shared_support,available_cases,available_units,conditional_on_onlinehmr_availability,direction,bootstrap_unit,point_aggregation,bootstrap_samples,seed
egobody,all,Coverage,0.5570801033591731,0.46534689922480627,0.6465226098191214,0.4235142118863049,0.980594315245478,129,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,all,IDF1,0.6101060836309133,0.5268195595887286,0.6909107528838487,0.37464803818875203,0.9847541218196654,129,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,all,W-MPJPE_mm,730.1455759074346,522.8938798121911,941.5897971967544,1042.4885857816857,234.6367458391552,97,37,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,all,WA-MPJPE_mm,233.94822675487038,158.7657908845488,307.85030011679845,454.25640074101915,185.28585066581417,97,37,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,all,ATE-Sim3,0.24257860720688157,0.15328040582687305,0.34792745973403955,0.2590303001299492,0.016451692923067602,129,43,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,extreme,Coverage,0.5282170542635658,0.43030813953488384,0.6237248062015504,0.44573643410852715,0.973953488372093,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,extreme,IDF1,0.6505013069534625,0.5725623401132494,0.7253804751692039,0.3326214108632064,0.9831227178166689,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,extreme,W-MPJPE_mm,991.8824765097866,755.032383032313,1224.803040316277,1305.261762676915,313.3792861671285,31,31,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,extreme,WA-MPJPE_mm,382.02195062641005,261.9172926246524,503.03920359013676,629.6735250889966,247.6515744625864,31,31,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,extreme,ATE-Sim3,0.5739666371510282,0.32344059096624506,0.872418341262383,0.5895727672098134,0.015606130058785217,43,43,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,medium,Coverage,0.5703875968992247,0.4784496124031008,0.6614748062015503,0.4067441860465116,0.9771317829457364,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,medium,IDF1,0.6050286462961735,0.5210738940347667,0.6881240664748793,0.3762889398745086,0.9813175861706821,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,medium,W-MPJPE_mm,909.9066011252627,612.4252884223757,1229.262348640619,1132.3264830386022,222.41988191333954,33,33,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,medium,WA-MPJPE_mm,281.30735342277626,188.18319264410175,381.1125986640381,455.4402153306504,174.13286190787414,33,33,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,medium,ATE-Sim3,0.10682161710813101,0.08612622190555186,0.12883525067770088,0.12361586563807538,0.016794248529944333,43,43,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,small,Coverage,0.5726356589147287,0.4733255813953488,0.6689244186046511,0.41806201550387595,0.9906976744186047,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,small,IDF1,0.574788297643104,0.4743354182083034,0.6718520378181357,0.41503376382854096,0.989822061471645,43,43,False,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,small,W-MPJPE_mm,532.9198141057091,320.182087716959,781.8550092863843,705.803158714099,172.8833446083899,33,33,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,small,WA-MPJPE_mm,150.43394620983466,100.95907567457401,194.3846059740268,288.2868026729847,137.85285646315003,33,33,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egobody,small,ATE-Sim3,0.046947567361485455,0.042615872552103404,0.05151457767644815,0.06390226754195871,0.01695470018047326,43,43,True,positive favours BRIDGE3R,recording/capture,independent-unit-macro,10000,20260903
egohumans,all,Coverage,0.40472004658269456,0.33204742370510704,0.4737173474176382,0.21096418058964947,0.615684227172344,90,27,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,all,IDF1,0.4294057245090509,0.36895044208473676,0.4862208066066443,0.14154939710220812,0.5709551216112589,90,27,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,all,W-MPJPE_mm,430.3203695227712,128.86451723115746,714.1533108773979,1311.683613576651,881.3632440538796,50,19,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,all,WA-MPJPE_mm,71.47952752124702,-1.294688919880859,139.4761761826151,405.5160922370341,334.0365647157871,50,19,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,all,ATE-SE3,2.447222527979781,1.9063154144646823,3.079707127487823,3.8690097973116084,1.4217872693318283,87,27,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,extreme,Coverage,0.37618426610531724,0.26219324679378103,0.4966689023657555,0.19968939514034292,0.5758736612456603,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,extreme,IDF1,0.4293403400448472,0.3204560289622199,0.5440930638548748,0.1291918832604921,0.5585322233053392,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,extreme,W-MPJPE_mm,472.44253950093156,-301.8022438190876,1154.0112716504382,1452.6249919771972,980.182452476266,12,12,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,extreme,WA-MPJPE_mm,34.37676340018464,-63.75805845870511,130.60477223235688,378.01195928999056,343.63519588980597,12,12,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,extreme,ATE-SE3,3.3164040086322655,2.4910645663249653,4.241346251187917,5.72442167611073,2.4080176674784632,21,21,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,large,Coverage,0.4015070600854412,0.2982504915346105,0.5040690248086258,0.2202546548645252,0.6217617149499663,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,large,IDF1,0.4125563263532244,0.3327301438485646,0.49916495949089085,0.14539794125617653,0.5579542676094009,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,large,W-MPJPE_mm,249.95446041100166,-276.8017022854059,666.8307493962637,1115.0978216715914,865.1433612605896,11,11,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,large,WA-MPJPE_mm,22.24414665121566,-117.74305187657178,129.29425576962095,374.0354938710038,351.7913472197881,11,11,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,large,ATE-SE3,3.1490265719139257,2.147363405221138,4.198017416184687,4.64183261794714,1.4928060460332147,20,20,True,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,medium,Coverage,0.37612203941382827,0.2896038637051284,0.4690287629647967,0.22868571889601366,0.604807758309842,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
egohumans,medium,IDF1,0.42696638598158587,0.34758959910831105,0.5089168405737217,0.14539347918652606,0.572359865168112,22,22,False,positive favours BRIDGE3R,recording/capture,case-macro,10000,20260904
