line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
1,h4d_test_01_hugging_002_hugging_extreme_cam07_cam20_b00151,002_hugging,01_hugging,extreme,success,success,,900.7508754730225,5,509.6361012360489,315.30906845245727,175.04704578648546,77.439885368774,221.50265960054242,548.3929232543493,429.83540611608674,1.4372636859951884,1.9021860325000841,0.027704888620023536,1.0101964282207156,3.8155890348312558,149.8505725983079,90.08820902390117,0.40863309352517985,92.0,0.9733333333333334,0.739240506329114,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line001/onlinehmr.evaluation.json,13213
2,h4d_test_01_hugging_002_hugging_large_cam11_cam16_b00151,002_hugging,01_hugging,large,success,success,,990.8136434555054,8,583.5616158400759,339.6449186277559,147.27544843015104,68.01968495590664,187.8782913690664,713.2324073631893,399.6780749386534,0.984313636206836,1.1761464968233861,0.018294630067359086,0.6027014628119551,2.375371515742209,88.82036285308502,684.6976213585484,0.38282208588957056,62.0,0.91,0.5300970873786408,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line002/onlinehmr.evaluation.json,13114
3,h4d_test_01_hugging_002_hugging_medium_cam11_cam14_b00151,002_hugging,01_hugging,medium,success,success,,920.7606031894684,11,433.41948847788404,302.29327373561,151.08539306928682,68.83860174561167,190.75477491092414,610.7714470597417,490.532110069192,0.5425593931392211,0.643484997389781,0.011148052059257068,0.3060762280488951,1.3096798663253015,44.62319993851326,515.8431773250071,0.42105263157894735,13.0,0.81,0.42334494773519166,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line003/onlinehmr.evaluation.json,13118
4,h4d_test_01_hugging_002_hugging_small_cam19_cam20_b00151,002_hugging,01_hugging,small,success,success,,905.7469944953918,8,378.12094950267783,256.44488030462617,176.5532945535867,65.87228239117798,225.8623007067346,687.38567629176,434.526849511739,0.034701241745023335,0.03560159508400222,0.01102269046178586,0.16020553666689782,0.7829945450082112,12.525586279740006,150.03259508065324,0.4449489216799092,29.0,0.9866666666666667,0.5094664371772806,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line004/onlinehmr.evaluation.json,13242
5,h4d_test_03_grappling2_028_grappling2_extreme_cam14_cam16_b00076,028_grappling2,03_grappling2,extreme,success,success,,1150.966959953308,19,438.74221953932374,310.25918743965775,128.4291111244371,72.18857991481595,153.12141619678874,514.0920136718968,318.3178069348095,2.7841179264093237,3.3052989807589492,0.046629591043026004,1.0177403528580802,6.626457888496517,150.71307185374013,,0.15288611544461778,17.0,0.4,0.12219959266802444,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line005/onlinehmr.evaluation.json,12930
6,h4d_test_03_grappling2_028_grappling2_large_cam11_cam15_b00076,028_grappling2,03_grappling2,large,success,success,,1000.8468263149261,9,,,110.42815675235543,44.22592130285725,138.80670036755606,,141.97380613777852,1.594930987934567,2.328087032058173,,,,,,0.01861427094105481,0.0,0.03,0.013493253373313344,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line006/onlinehmr.evaluation.json,11473
7,h4d_test_03_grappling2_028_grappling2_medium_cam10_cam16_b00076,028_grappling2,03_grappling2,medium,success,success,,1105.9112496376038,14,,,116.27599185564642,67.5827302922783,145.57366946447914,,248.49758181471626,1.37898044357185,1.544249140621008,,,,,,0.09339774557165861,8.0,0.21666666666666667,0.06900212314225053,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line007/onlinehmr.evaluation.json,11558
8,h4d_test_03_grappling2_028_grappling2_small_cam05_cam08_b00076,028_grappling2,03_grappling2,small,success,success,,1140.9390335083008,8,564.2109674993525,252.58323318301166,171.32564673401345,83.70185287720555,217.31531081139,705.3743763753797,283.3069938110458,0.06799740286910459,0.1236692396256033,0.01691946299089976,0.19058389490400598,1.1090708942609888,14.431725334455093,,0.293007769145394,18.0,0.53,0.26455906821963393,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line008/onlinehmr.evaluation.json,13045
9,h4d_test_03_grappling2_030_grappling2_extreme_cam14_cam16_b00151,030_grappling2,03_grappling2,extreme,success,success,,1145.9419193267822,19,609.6619159041655,515.9347507995457,226.16241522839874,127.61242134452576,266.3960482569939,606.731113437732,558.7991568002972,0.9904549972550566,3.2752302292445603,0.046498463717482515,1.0170415006126494,6.625352313024047,150.63266861803746,1633.375832705875,0.06419400855920114,37.0,0.3333333333333333,0.09074410163339383,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line009/onlinehmr.evaluation.json,13228
10,h4d_test_03_grappling2_030_grappling2_large_cam01_cam14_b00151,030_grappling2,03_grappling2,large,success,success,,1221.019800901413,9,,,117.34827257897213,72.51235509047642,136.15745926173506,,480.74858786777276,1.8026924482929652,2.271923852576947,,,,,,0.2013685239491691,5.0,0.37,0.15352697095435686,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line010/onlinehmr.evaluation.json,11662
11,h4d_test_03_grappling2_030_grappling2_medium_cam10_cam16_b00151,030_grappling2,03_grappling2,medium,success,success,,1411.1744816303253,29,,,86.82519138241918,44.366035233713404,95.9537051833297,,298.8548867494477,1.0908681701390726,1.5387456013334364,,,,,,0.008762322015334063,1.0,0.03,0.005897771952817824,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line011/onlinehmr.evaluation.json,11590
12,h4d_test_03_grappling2_030_grappling2_small_cam05_cam08_b00151,030_grappling2,03_grappling2,small,success,success,,1401.1717145442963,11,,,309.7757384077163,161.08791410976997,358.65089670383725,,486.70540701092773,0.049880737877514444,0.14720812075151163,,,,,,0.07502467917077986,27.0,0.23666666666666666,0.09957924263674614,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line012/onlinehmr.evaluation.json,11734
13,h4d_test_03_grappling2_033_grappling2_extreme_cam14_cam16_b00087,033_grappling2,03_grappling2,extreme,success,success,,1416.1867454051971,15,,,140.9581232843506,82.00561667789307,166.17248588036142,,204.63181139994143,1.7820601617632164,3.3004871125422857,,,,,,0.13783403656821377,0.0,0.32666666666666666,0.0873440285204991,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/harmony4d/attempt04/line013/onlinehmr.evaluation.json,11564
