dataset,metric,support,cluster_count,mean_gain,ci95_low,ci95_high,wins,ties,losses
EgoBody,W-MPJPE_mm,43,43,150.8715986469884,30.280043445659366,297.98062732292505,21,0,22
EgoBody,WA-MPJPE_mm,43,43,48.496236503041196,10.491586596411155,89.87653664775074,25,0,18
EgoBody,IDF1,43,43,0.22513167692851296,0.15359751490219126,0.2979813906132155,21,22,0
EgoBody,Coverage,43,43,0.0,0.0,0.0,0,43,0
EgoBody,ATE_Sim3_m,43,43,0.23732979509156837,0.08612954792836969,0.4309750740036034,43,0,0
EgoHumans,W-MPJPE_mm,22,22,342.35691724170056,40.81188462930836,735.6757718875241,13,0,9
EgoHumans,WA-MPJPE_mm,22,22,84.13342430511794,23.97099903707569,155.99784815924818,16,0,6
EgoHumans,IDF1,22,22,0.15428788394565182,0.061543715520065274,0.248156074686151,11,2,9
EgoHumans,Coverage,22,22,-0.035457886952727634,-0.11131599571887561,0.03780285942409544,2,7,13
EgoHumans,ATE_SE3_m,22,22,1.0638629573597427,0.36242947789644736,1.8567123924281992,15,0,7
Harmony4D,W-MPJPE_mm,25,25,-2.372720236520054,-62.86595919452206,60.80320724977614,13,0,12
Harmony4D,WA-MPJPE_mm,25,25,65.04940059412503,30.372961216415828,100.32937085275395,20,0,5
Harmony4D,IDF1,25,25,0.2045545203670951,0.13029311014254316,0.27826196439754997,19,4,2
Harmony4D,Coverage,25,25,-0.007333333333333341,-0.013733333333333342,-0.002000000000000004,0,19,6
Harmony4D,ATE_Sim3_m,25,25,0.23272222517071797,0.17571831245463349,0.2986396101585896,25,0,0
