dataset,stratum,method,unit,W-MPJPE_mm,W_support,WA-MPJPE_mm,WA_support,camera_metric,camera_value_m,camera_support,IDF1,Coverage
EgoBody,all,Strict Human3R,43 recordings,321.1479860998175,43,233.38694958961477,43,ATE-Sim3,0.12437407452436845,43,0.8703780309755466,0.980594315245478
EgoBody,all,BRIDGE3R,43 recordings,258.83269644768603,43,201.6903095894276,43,ATE-Sim3,0.016451692923067602,43,0.9847541218196655,0.980594315245478
EgoBody,extreme,Strict Human3R,43 farthest-view recordings,505.14874672212903,43,321.813633452833,43,ATE-Sim3,0.2529359251503536,43,0.7579910408881559,0.973953488372093
EgoBody,extreme,BRIDGE3R,43 farthest-view recordings,354.2771480751406,43,273.3173969497919,43,ATE-Sim3,0.015606130058785217,43,0.9831227178166689,0.973953488372093
EgoHumans,all,Strict Human3R,90 clips / 27 captures,1005.0913333525158,90,365.70898212095653,90,ATE-SE3,1.6733605051164542,90,0.47143080724978315,0.6387837734883044
EgoHumans,all,BRIDGE3R,90 clips / 27 captures,866.8277871450724,90,336.85761221821673,90,ATE-SE3,1.423208453696695,90,0.5709551216112589,0.615684227172344
EgoHumans,extreme,Strict Human3R,22 captures at >=150 deg,1228.407716905847,22,400.0003310509681,22,ATE-SE3,3.39024090964918,22,0.40424433935968745,0.6113315481983879
EgoHumans,extreme,BRIDGE3R,22 captures at >=150 deg,886.050799664146,22,315.8669067458502,22,ATE-SE3,2.326377952289437,22,0.5585322233053392,0.5758736612456603
Harmony4D,all,Strict Human3R,88 cases / 25 captures,496.6014559441846,88,259.607643933763,88,ATE-Sim3,0.1419821519386462,88,0.5527066102634252,0.9153030303030303
Harmony4D,all,BRIDGE3R,88 cases / 25 captures,519.5542532704277,88,246.98658255333933,88,ATE-Sim3,0.01680019804327222,88,0.636104889431971,0.9125378787878787
Harmony4D,extreme,Strict Human3R,25 extreme-view captures,550.1859483558262,25,325.70182918885166,25,ATE-Sim3,0.24983555018994516,25,0.41768735717534694,0.8658666666666668
Harmony4D,extreme,BRIDGE3R,25 extreme-view captures,552.5586685923463,25,260.65242859472664,25,ATE-Sim3,0.01711332501922719,25,0.6222418775424421,0.8585333333333333
