ATE_SE3_m,ATE_SE3_m_case_support,ATE_SE3_m_unit_support,ATE_Sim3_m,ATE_Sim3_m_case_support,ATE_Sim3_m_unit_support,Coverage,Coverage_case_support,Coverage_unit_support,IDF1,IDF1_case_support,IDF1_unit_support,MPJPE_mm,MPJPE_mm_case_support,MPJPE_mm_unit_support,PA-MPJPE_mm,PA-MPJPE_mm_case_support,PA-MPJPE_mm_unit_support,Precision,Precision_case_support,Precision_unit_support,W-MPJPE_mm,W-MPJPE_mm_case_support,W-MPJPE_mm_unit_support,WA-MPJPE_mm,WA-MPJPE_mm_case_support,WA-MPJPE_mm_unit_support,aggregation,angle_stratum,camera_primary,dataset,method,seconds,seconds_case_support,seconds_unit_support,total_cases
0.21466079883974612,129,43,0.12437407452436847,129,43,0.980594315245478,129,43,0.8703780309755466,129,43,71.17290101812874,129,43,43.802706075054346,129,43,0.9986395565900694,129,43,321.1479860998175,129,43,233.38694958961474,129,43,recording_macro,all,ATE_Sim3_m,egobody,Human3R,,0,0,129
0.4452636928946267,129,43,0.2590303001299492,129,43,0.4235142118863049,129,43,0.374648038188752,129,43,102.3005253862541,111,39,50.25366320417733,111,39,0.40397948045535065,129,43,961.2046047557473,97,37,418.1406651483718,97,37,recording_macro,all,ATE_Sim3_m,egobody,OnlineHMR,,0,0,129
0.2065189669759979,129,43,0.016451692923067605,129,43,0.980594315245478,129,43,0.9847541218196654,129,43,70.935326487181,129,43,43.873510100589115,129,43,0.9986395565900694,129,43,258.83269644768603,129,43,201.69030958942764,129,43,recording_macro,all,ATE_Sim3_m,egobody,Shot3R,,0,0,129
0.8245150556573785,127,43,0.08683133740431187,127,43,0.9796899224806201,129,43,0.9726749071393456,129,43,69.56969749689674,127,43,39.467362977025566,127,43,0.973694501419479,129,43,399.643957210787,127,43,322.86080467593246,127,43,recording_macro,all,ATE_Sim3_m,egobody,JOSH,418.1997381167702,127,43,129
0.09328340017963903,43,43,0.04781961161616309,43,43,0.9906976744186047,43,43,0.9653973044887485,43,43,71.03081417727122,43,43,43.279421517819486,43,43,0.9969111867470162,43,43,223.36284203445433,43,43,182.13869266793145,43,43,recording_macro,small,ATE_Sim3_m,egobody,Human3R,,0,0,43
0.12255405589033998,43,43,0.06390226754195871,43,43,0.41806201550387595,43,43,0.41503376382854096,43,43,84.26173306763106,37,37,42.13724644653403,37,37,0.4255248895615422,43,43,705.803158714099,33,33,288.2868026729847,33,33,recording_macro,small,ATE_Sim3_m,egobody,OnlineHMR,,0,0,43
0.09024252176839398,43,43,0.01695470018047326,43,43,0.9906976744186047,43,43,0.9898220614716451,43,43,70.88372847625706,43,43,43.325055057813934,43,43,0.9969111867470162,43,43,201.40445445065373,43,43,160.60041742334505,43,43,recording_macro,small,ATE_Sim3_m,egobody,Shot3R,,0,0,43
0.06360039909384178,42,42,0.044879222918193414,42,42,0.9766666666666667,43,43,0.96669785822692,43,43,68.8657196322154,42,42,39.160498498583024,42,42,0.9587561745663157,43,43,151.48087793190544,42,42,122.28619054217734,42,42,recording_macro,small,ATE_Sim3_m,egobody,JOSH,419.3612226729484,42,42,43
0.11312586697339803,43,43,0.0723666868065887,43,43,0.9771317829457364,43,43,0.887745747549735,43,43,72.33585746011258,43,43,43.96793120287398,43,43,0.9991620067039464,43,43,234.93236954286925,43,43,196.20852264807976,43,43,recording_macro,medium,ATE_Sim3_m,egobody,Human3R,,0,0,43
0.22595500970736634,43,43,0.12361586563807536,43,43,0.40674418604651164,43,43,0.3762889398745087,43,43,94.23904486726951,37,37,48.427578500879704,37,37,0.4051516398929049,43,43,1132.3264830386022,33,33,455.44021533065046,33,33,recording_macro,medium,ATE_Sim3_m,egobody,OnlineHMR,,0,0,43
0.1692399467754635,43,43,0.01679424852994433,43,43,0.9771317829457364,43,43,0.9813175861706822,43,43,72.12137140569058,43,43,44.053314515280654,43,43,0.9991620067039464,43,43,220.81648681726378,43,43,171.15311439514605,43,43,recording_macro,medium,ATE_Sim3_m,egobody,Shot3R,,0,0,43
0.8568921302807742,43,43,0.08827313157101721,43,43,0.9958914728682171,43,43,0.9959441646125817,43,43,68.9885851015692,43,43,39.59044043869224,43,43,0.9975029815146095,43,43,391.47349722946865,43,43,314.08276686190266,43,43,recording_macro,medium,ATE_Sim3_m,egobody,JOSH,417.866281324808,43,43,43
0.43757312936620135,43,43,0.2529359251503536,43,43,0.9739534883720931,43,43,0.757991040888156,43,43,70.15203141700239,43,43,44.160765504469566,43,43,0.9998454763192459,43,43,505.1487467221289,43,43,321.813633452833,43,43,recording_macro,extreme,ATE_Sim3_m,egobody,Human3R,,0,0,43
0.9872820130861738,43,43,0.5895727672098136,43,43,0.44573643410852715,43,43,0.3326214108632064,43,43,113.15236322636319,37,37,54.3445333160512,37,37,0.38126191191160475,43,43,1305.261762676915,31,31,629.6735250889965,31,31,recording_macro,extreme,ATE_Sim3_m,egobody,OnlineHMR,,0,0,43
0.36007443238413617,43,43,0.01560613005878522,43,43,0.9739534883720931,43,43,0.9831227178166689,43,43,69.80087957959539,43,43,44.24216072867276,43,43,0.9998454763192459,43,43,354.27714807514053,43,43,273.3173969497918,43,43,recording_macro,extreme,ATE_Sim3_m,egobody,Shot3R,,0,0,43
1.5888539841300575,42,42,0.12981320971595403,42,42,0.9665116279069768,43,43,0.955382698578535,43,43,69.85947532808612,42,42,39.1341819269792,42,42,0.9648243481775121,43,43,663.2465170905574,42,42,538.5667330566052,42,42,recording_macro,extreme,ATE_Sim3_m,egobody,JOSH,418.177295487399,42,42,43
