dataset,case_id,method,recording,capture,angle_stratum,angle_deg,person_count,status,w_mpjpe_mm,wa_mpjpe_mm,mpjpe_mm,mpvpe_mm,accel_mm_frame2,ate_sim3_m,ate_se3_m,ate_m,idf1,coverage,ids,boundary_camera_translation_m,boundary_camera_rotation_deg,fixed_root_m,post_root_m,seam_root_m,seam_camera_translation_m,seam_camera_rotation_deg,fit_runtime_seconds,world_alignment_available,metric_unavailability_reason
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r0,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,extreme,91.48307749587892,2,ok,942.9564535267696,915.4017942903175,108.92686360067366,104.48761195380794,33.67866142873447,1.8508939237354873,2.0604640484131447,1.8508939237354873,0.5,1.0,2.0,4.130548154142869,90.75052081205925,0.9677360901186419,1.8416967790815677,1.7813248049883408,4.129486511112707,90.75036020932279,0.0,True,
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r1,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,extreme,91.48307749587892,2,ok,919.3855467379062,893.7918941525477,108.92686118298514,104.48760991127097,34.06169493695871,0.04090706818585986,1.7487297397559143,0.04090706818585986,0.75,1.0,1.0,3.6465082463393483,90.75052081205925,0.9612773452077943,1.8287792892598724,1.7654581942618364,3.6306623352940117,90.75036020932279,0.002439758000036818,True,
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r2,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,extreme,91.48307749587892,2,ok,135.33184535343398,120.0057534622128,108.92685180289482,104.48759964065988,15.402295414790968,0.007101779696696847,0.2409287338624129,0.007101779696696847,0.75,1.0,1.0,0.49277863378440745,4.208091167103157,0.12515933657189077,0.15654327198806572,0.05145724195970399,0.4454446562343238,4.35918563335831,0.07509511900025245,True,
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r3,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,extreme,91.48307749587892,2,ok,1613.751476468552,1217.3924622054146,108.92686008241387,104.48760874203772,50.413051348236145,0.005219913809216515,0.4177993761719039,0.005219913809216515,0.5,1.0,2.0,5.009065388740543,140.1580745587381,1.6539271864791656,3.214078971802615,3.181051019346948,5.0063774089740125,140.14070920243614,2.0411427030003324,True,
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r0,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,medium,49.696641199786015,2,ok,674.503070535711,572.8415776195786,100.28990000935524,95.78590379349679,31.560823861239545,0.9603592753519278,1.6355828474723177,0.9603592753519278,1.0,1.0,0.0,3.290266359573225,49.0890632300884,0.6327092641226195,1.1977264289332619,1.1523182824263303,3.2898715734834925,49.08906137880939,0.0,True,
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r1,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,medium,49.696641199786015,2,ok,585.4452168195479,508.1782793632037,100.28990117055092,95.78590086432892,29.439566955401904,0.02684526944717519,1.3271505258372729,0.02684526944717519,1.0,1.0,0.0,2.64149056281421,49.0890632300884,0.5692533088361877,1.070814518360398,1.0389432318839493,2.634693307164147,49.08906137880939,0.003336748999572592,True,
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r2,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,medium,49.696641199786015,2,ok,136.54365480511058,122.46513998759593,100.28989923616001,95.78590294635642,18.46526007473762,0.006057071607587444,0.2456705716718281,0.006057071607587444,1.0,1.0,0.0,0.32545384054371784,5.454747622070017,0.07669883415728128,0.08570556900258533,0.04507613803281589,0.2508255686647552,5.4547294820047725,0.10848715199972503,True,
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r3,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,medium,49.696641199786015,2,ok,344.67279516141735,270.8458221895989,100.28989983322366,95.78590341511791,24.102630858677205,0.005042905726523487,0.0354732343273034,0.005042905726523487,1.0,1.0,0.0,0.7103527011018954,7.206041145948096,0.31959202918457297,0.5714919590571687,0.5939777452154925,0.5527132030658637,7.206027402654523,1.7114181200004168,True,
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r0,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,small,42.14973883873915,2,ok,676.2572112869407,585.9405843439696,88.07779878107732,87.87044286101283,29.35211383245261,0.598042669136313,0.9401850902983563,0.598042669136313,0.7234726688102894,1.0,1.0,1.9256722158706014,41.8032450419999,0.7101380763477179,1.3453356327009263,1.3208920841646377,1.9257691859784427,41.80324449974986,0.0,True,
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r1,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,small,42.14973883873915,2,ok,534.3287718414037,486.3881847770967,88.07780005483832,87.87044398677389,26.065712588107946,0.015189282445472374,0.4520550100621184,0.015189282445472374,0.9646302250803859,1.0,0.0,2.487999847258957,41.8032450419999,0.5627751567049755,1.0506097934154415,1.0075430202085687,2.4508795561202428,41.80324449974986,0.0023837890003051143,True,
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r2,recording_20210907_S03_S04_01,recording_20210907_S03_S04_01,small,42.14973883873915,2,ok,124.50377238986594,99.68193070020418,88.07779951550518,87.87044426636075,15.809497308500289,0.008252239522751465,0.03299502004578605,0.008252239522751465,0.9646302250803859,1.0,0.0,0.39448971042825914,7.606390618760535,0.09361159855354462,0.11228267711257987,0.045968994903913006,0.3111192007350665,7.606382294426583,0.07348483400073746,True,
