dataset,case_id,method,angle_stratum,angle_deg,person_count,status,failure_reason,catastrophic_evaluation,scene_point_count_pre,scene_point_count_post,correspondence_count,inlier_ratio,fit_residual,global_fitness,global_residual,matched_person_count,runtime_seconds
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r1,extreme,91.48307749587892,2,ok,,True,,,,,1.76404869556427,,,2,0.002439758000036818
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r2,extreme,91.48307749587892,2,ok,,False,,,22,1.0,0.046433407493896156,,,2,0.07509511900025245
egobody,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,r3,extreme,91.48307749587892,2,ok,,True,2092,2358,1322,0.5606446140797285,0.16499911959938976,0.6212892281594572,0.2149410166077521,,2.0411427030003324
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r1,medium,49.696641199786015,2,ok,,True,,,,,0.9663644433021545,,,2,0.003336748999572592
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r2,medium,49.696641199786015,2,ok,,False,,,22,1.0,0.030080112630845243,,,2,0.10848715199972503
egobody,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,r3,medium,49.696641199786015,2,ok,,False,2572,1834,1129,0.6155943293347873,0.14036809345780313,0.7148309705561614,0.18509879397685,,1.7114181200004168
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r1,small,42.14973883873915,2,ok,,True,,,,,0.9376726746559143,,,2,0.0023837890003051143
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r2,small,42.14973883873915,2,ok,,False,,,22,1.0,0.041590446700643664,,,2,0.07348483400073746
egobody,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,r3,small,42.14973883873915,2,ok,,False,2681,2343,1392,0.5941101152368758,0.14062272575488405,0.5761843790012804,0.19858521458122236,,1.7581691249997675
egobody,egobody_recording_20210911_S03_S08_01_extreme_kinect_13_kinect_11_b02141,r1,extreme,46.47292452247161,2,ok,,True,,,,,0.6636996865272522,,,2,0.0057756400001380825
egobody,egobody_recording_20210911_S03_S08_01_extreme_kinect_13_kinect_11_b02141,r2,extreme,46.47292452247161,2,ok,,False,,,22,1.0,0.043428225286243356,,,2,0.07566786499955924
egobody,egobody_recording_20210911_S03_S08_01_extreme_kinect_13_kinect_11_b02141,r3,extreme,46.47292452247161,2,ok,,False,3912,4043,2478,0.612911204551076,0.13411818470108142,0.6811773435567647,0.1695768339056728,,2.0862082639996515
egobody,egobody_recording_20210911_S03_S08_01_medium_kinect_11_kinect_12_b02141,r1,medium,26.815569616801337,2,ok,,True,,,,,0.4284137785434723,,,2,0.003303059999780089
egobody,egobody_recording_20210911_S03_S08_01_medium_kinect_11_kinect_12_b02141,r2,medium,26.815569616801337,2,ok,,False,,,22,1.0,0.13225973769954963,,,2,0.10885194200000115
egobody,egobody_recording_20210911_S03_S08_01_medium_kinect_11_kinect_12_b02141,r3,medium,26.815569616801337,2,ok,,False,4220,3503,2831,0.808164430488153,0.13063023578347735,0.8683985155580931,0.17602526634574803,,2.0005400589998317
egobody,egobody_recording_20210911_S03_S08_01_small_kinect_13_kinect_12_b02141,r1,small,19.844222642454152,2,ok,,False,,,,,0.2596893608570099,,,2,0.0033191100001204177
egobody,egobody_recording_20210911_S03_S08_01_small_kinect_13_kinect_12_b02141,r2,small,19.844222642454152,2,ok,,False,,,22,1.0,0.06916513526431056,,,2,0.09883242199975939
egobody,egobody_recording_20210911_S03_S08_01_small_kinect_13_kinect_12_b02141,r3,small,19.844222642454152,2,ok,,True,3912,3503,2452,0.6999714530402512,0.13730310076121116,0.7781901227519269,0.18057393501109237,,2.0378594779995183
egobody,egobody_recording_20210911_S03_S08_02_extreme_kinect_11_kinect_13_b03471,r1,extreme,46.47292452247161,2,ok,,True,,,,,0.6899238228797913,,,2,0.002440977999867755
egobody,egobody_recording_20210911_S03_S08_02_extreme_kinect_11_kinect_13_b03471,r2,extreme,46.47292452247161,2,ok,,False,,,22,1.0,0.07951920499660403,,,2,0.07859375099997123
egobody,egobody_recording_20210911_S03_S08_02_extreme_kinect_11_kinect_13_b03471,r3,extreme,46.47292452247161,2,ok,,False,3771,3916,2605,0.6652196118488254,0.13604842947975482,0.7083758937691522,0.18460761009071203,,0.5354037369997968
egobody,egobody_recording_20210911_S03_S08_02_medium_kinect_12_kinect_11_b03471,r1,medium,26.815569616801337,2,ok,,True,,,,,0.0,,,1,0.001720550999380066
egobody,egobody_recording_20210911_S03_S08_02_medium_kinect_12_kinect_11_b03471,r2,medium,26.815569616801337,2,ok,,False,,,11,1.0,0.006835110240371203,,,1,0.07169737000003806
egobody,egobody_recording_20210911_S03_S08_02_medium_kinect_12_kinect_11_b03471,r3,medium,26.815569616801337,2,ok,,False,2918,3969,2591,0.6528092718568909,0.12969228479020112,0.7084908037288989,0.18329903522158839,,0.5400992140002927
egobody,egobody_recording_20210911_S03_S08_02_small_kinect_13_kinect_12_b03471,r1,small,19.844222642454152,2,ok,,False,,,,,0.0,,,1,0.0016410980006185127
egobody,egobody_recording_20210911_S03_S08_02_small_kinect_13_kinect_12_b03471,r2,small,19.844222642454152,2,ok,,False,,,11,1.0,0.01016340865391945,,,1,0.07622955299939349
egobody,egobody_recording_20210911_S03_S08_02_small_kinect_13_kinect_12_b03471,r3,small,19.844222642454152,2,ok,,False,3987,2950,2288,0.775593220338983,0.12538188382514914,0.851864406779661,0.17055031089739742,,0.507826453999769
egobody,egobody_recording_20210921_S05_S12_01_extreme_kinect_11_kinect_13_b02281,r1,extreme,30.70533604440771,2,ok,,True,,,,,0.31391751766204834,,,2,0.002393025999481324
egobody,egobody_recording_20210921_S05_S12_01_extreme_kinect_11_kinect_13_b02281,r2,extreme,30.70533604440771,2,ok,,False,,,22,1.0,0.08318577374699339,,,2,0.09009806399990339
egobody,egobody_recording_20210921_S05_S12_01_extreme_kinect_11_kinect_13_b02281,r3,extreme,30.70533604440771,2,ok,,False,2535,1625,941,0.579076923076923,0.14421940287459167,0.6744615384615384,0.17540397530164523,,0.2401520690000325
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r1,medium,26.229418630719106,2,ok,,True,,,,,0.34790611267089844,,,2,0.00288763799926528
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r2,medium,26.229418630719106,2,ok,,False,,,22,1.0,0.0912444490361695,,,2,0.08437770000000455
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r3,medium,26.229418630719106,2,ok,,False,1955,2863,1383,0.48305972755850507,0.14737602409608397,0.5434858539993014,0.19569110463870273,,0.22988771099971927
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r1,small,4.618278041803539,2,ok,,False,,,,,0.043670326471328735,,,2,0.004146428999774798
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r2,small,4.618278041803539,2,ok,,False,,,22,1.0,0.04293494795716343,,,2,0.07627495399992767
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r3,small,4.618278041803539,2,ok,,False,1641,2586,1334,0.5158546017014695,0.1344757175893756,0.55723124516628,0.16231052418812783,,0.21621170100024756
egobody,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,r1,extreme,31.032654192611474,2,ok,,True,,,,,0.530170202255249,,,2,0.0024165730001186603
