split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
test,egobody_recording_20211004_S20_S12_01_extreme_kinect_13_kinect_11_b02766,extreme,v19_ungated_translation_b050,True,False,468.94339772385234,281.25144903209656,1.6673457126627507,66.73457126627507
test,egobody_recording_20211004_S12_S20_03_medium_kinect_13_kinect_12_b01986,medium,v19_ungated_translation_b050,True,False,232.32623293736194,152.36617409830112,1.5247887814487846,52.47887814487846
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v17_harmony_multicue_safe,False,True,235.54161361996017,154.5321437375398,1.5242240735364956,52.42240735364956
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v20_gate_r025_t100_b100,False,True,225.09704054874388,154.5321437375398,1.456635720598381,45.66357205983811
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,small,v17_harmony_multicue_safe,False,True,338.07099149908635,235.75222740584877,1.4340097449730358,43.40097449730358
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,small,v17_harmony_multicue_safe,False,True,407.51652768796185,286.12195148050705,1.4242756474269511,42.42756474269511
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,small,v20_gate_r025_t100_b100,False,True,329.43311315204346,235.75222740584877,1.3973700981620951,39.737009816209515
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,small,v20_gate_r025_t100_b100,False,True,394.9531444414378,286.12195148050705,1.3803664570222436,38.03664570222436
test,egobody_recording_20220318_S34_S33_01_small_kinect_12_kinect_11_b02656,small,v19_ungated_translation_b050,True,False,292.34323531720395,218.0839660797664,1.340507697894106,34.050769789410595
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v20_gate_r025_t100_b100,False,True,235.14618577619606,177.73320360301625,1.3230290177035073,32.302901770350736
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v17_harmony_multicue_safe,False,True,228.62833010670502,177.73320360301625,1.2863568847685196,28.63568847685196
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v20_gate_r025_t100_b100,False,True,287.91548902666176,227.00676458087497,1.2683123763216626,26.83123763216626
test,egobody_recording_20211004_S12_S20_04_medium_kinect_13_kinect_12_b03381,medium,v19_ungated_translation_b050,True,False,242.6505107208058,191.3645970350824,1.268001053906127,26.800105390612707
test,egobody_recording_20211004_S12_S20_02_medium_kinect_13_kinect_12_b01776,medium,v19_ungated_translation_b050,True,False,208.0715271302194,165.6309443145334,1.2562358319656217,25.623583196562173
development,egobody_recording_20210918_S05_S06_03_medium_kinect_12_kinect_13_b01956,medium,v17_harmony_multicue_safe,False,True,124.38655296938167,100.26616193597806,1.2405636215416818,24.056362154168177
development,egobody_recording_20211004_S19_S06_03_medium_kinect_13_kinect_12_b03986,medium,v19_ungated_translation_b050,True,False,314.82086111468215,253.80852578639227,1.2403872570444638,24.038725704446385
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v17_harmony_multicue_safe,False,True,279.73637118480053,227.00676458087497,1.2322820938894963,23.22820938894963
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v17_harmony_multicue_safe,False,True,120.52518828296013,99.80315416959098,1.2076290502618499,20.762905026184985
development,egobody_recording_20210918_S05_S06_03_medium_kinect_12_kinect_13_b01956,medium,v20_gate_r025_t100_b100,False,True,119.88886381660355,100.26616193597806,1.1957061235988564,19.570612359885644
development,egobody_recording_20211004_S19_S06_03_extreme_kinect_11_kinect_13_b03986,extreme,v19_ungated_translation_b050,True,False,506.91841878569136,424.0967741851267,1.1952894943841552,19.528949438415523
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,small,v20_gate_vel_r025_t075_b050,False,True,337.5264442221157,286.12195148050705,1.1796593811681406,17.965938116814062
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,small,v19_ungated_translation_b050,True,False,331.64517479199634,286.12195148050705,1.1591042668202642,15.910426682026424
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,small,v20_gate_r025_t075_b050,False,True,331.64517479199634,286.12195148050705,1.1591042668202642,15.910426682026424
holdout,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,extreme,v20_gate_vel_r025_t075_b050,False,True,132.62933940520955,114.85863795187817,1.1547180235654257,15.471802356542575
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v20_gate_vel_r025_t075_b050,False,True,205.22537998120296,177.73320360301625,1.1546822755729598,15.468227557295977
holdout,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,extreme,v19_ungated_translation_b050,True,False,132.28839574387317,114.85863795187817,1.1517496472428785,15.174964724287854
holdout,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,extreme,v20_gate_r025_t075_b050,False,True,132.28839574387317,114.85863795187817,1.1517496472428785,15.174964724287854
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v19_ungated_translation_b050,True,False,204.0143499185267,177.73320360301625,1.1478685230600572,14.786852306005716
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v20_gate_r015_t050_b050,False,True,204.0143499185267,177.73320360301625,1.1478685230600572,14.786852306005716
development,egobody_recording_20220215_S22_S21_02_small_kinect_12_kinect_11_b02681,small,v20_gate_r025_t075_b050,False,True,204.0143499185267,177.73320360301625,1.1478685230600572,14.786852306005716
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v19_ungated_translation_b050,True,False,176.19401571010422,154.5321437375398,1.1401771272218635,14.01771272218635
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v20_gate_r025_t075_b050,False,True,176.19401571010422,154.5321437375398,1.1401771272218635,14.01771272218635
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v20_gate_r025_t100_b100,False,True,179.31650385321836,157.4202957332575,1.1390939333328602,13.909393333286024
development,egobody_recording_20210918_S06_S05_02_medium_kinect_12_kinect_13_b03571,medium,v20_gate_vel_r025_t075_b050,False,True,175.33571835192504,154.5321437375398,1.134622960060131,13.462296006013098
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v20_gate_vel_r025_t075_b050,False,True,218.2986341433343,193.0897833271875,1.1305550733019925,13.055507330199244
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v19_ungated_translation_b050,True,False,217.85555553790232,193.0897833271875,1.1282603967127025,12.826039671270252
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v20_gate_r025_t075_b050,False,True,217.85555553790232,193.0897833271875,1.1282603967127025,12.826039671270252
development,egobody_recording_20211004_S19_S06_01_extreme_kinect_11_kinect_13_b03136,extreme,v19_ungated_translation_b050,True,False,539.5848963767118,480.8805395974504,1.122076798592023,12.207679859202303
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v17_harmony_multicue_safe,False,True,174.11146930257004,157.4202957332575,1.1060293622976995,10.602936229769956
test,egobody_recording_20220312_S29_S28_05_small_kinect_11_kinect_15_b02786,small,v19_ungated_translation_b050,True,False,142.72060550544023,130.23822707713353,1.0958426623921564,9.584266239215644
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v20_gate_r025_t100_b100,False,True,210.61943716164902,193.0897833271875,1.0907849888917107,9.078498889171073
holdout,egobody_recording_20210921_S11_S10_02_small_kinect_12_kinect_13_b02981,small,v17_harmony_multicue_safe,False,True,191.715623690061,177.55908456289373,1.0797286106876318,7.972861068763182
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v17_harmony_multicue_safe,False,True,186.21235144709425,172.94459913533709,1.0767167773847308,7.671677738473082
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v20_gate_r025_t100_b100,False,True,185.76539374248858,172.94459913533709,1.0741323792199988,7.413237921999882
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v20_gate_vel_r025_t075_b050,False,True,166.6738469132449,157.4202957332575,1.0587824532845953,5.87824532845953
test,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,small,v19_ungated_translation_b050,True,False,186.44069451171507,176.16918235645548,1.058304818231355,5.830481823135503
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v19_ungated_translation_b050,True,False,166.34280113306406,157.4202957332575,1.0566795111027196,5.667951110271963
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v20_gate_r015_t050_b050,False,True,166.34280113306406,157.4202957332575,1.0566795111027196,5.667951110271963
development,egobody_recording_20220415_S36_S35_01_small_kinect_11_kinect_12_b02676,small,v20_gate_r025_t075_b050,False,True,166.34280113306406,157.4202957332575,1.0566795111027196,5.667951110271963
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v20_gate_vel_r025_t075_b050,False,True,105.45128470243031,99.80315416959098,1.056592705709899,5.659270570989894
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v20_gate_vel_r025_t075_b050,False,True,182.66468126619614,172.94459913533709,1.0562034442211905,5.62034442211905
development,egobody_recording_20211004_S19_S06_01_medium_kinect_13_kinect_12_b03136,medium,v19_ungated_translation_b050,True,False,210.4665519101857,199.50702228015862,1.054933052003739,5.493305200373899
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v19_ungated_translation_b050,True,False,105.26480272671566,99.80315416959098,1.054724207892708,5.472420789270793
