split,case_id,evaluation_boundary,proposal_boundary,signed_error_frames,absolute_error_frames,status,exact,boundary_label_positive,positive_frame_count,off_boundary_positive_count,tp,fp,fn,frame_count,evaluated_pair_count,brier,detector_seconds
development,egobody_recording_20210907_S02_S01_01_extreme_kinect_11_kinect_13_b02196,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,6.511689751009232e-05,17.716027857735753
development,egobody_recording_20210907_S02_S01_01_medium_kinect_12_kinect_13_b02196,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.559908713805324e-05,17.50801524054259
development,egobody_recording_20210907_S02_S01_01_small_kinect_12_kinect_11_b02196,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.116367839093885e-05,17.64035573322326
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,4.15717169360156e-05,17.720311868935823
development,egobody_recording_20210907_S04_S03_01_medium_kinect_12_kinect_13_b02471,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,5.766574272903407e-05,18.00807594601065
development,egobody_recording_20210907_S04_S03_01_small_kinect_12_kinect_11_b02471,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,4.2954830883916644e-05,17.39455894101411
development,egobody_recording_20210907_S04_S03_02_extreme_kinect_13_kinect_11_b02176,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.5242946715118543e-05,15.915776366367936
development,egobody_recording_20210907_S04_S03_02_medium_kinect_12_kinect_13_b02176,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,4.85015709974383e-05,16.993707913905382
development,egobody_recording_20210907_S04_S03_02_small_kinect_11_kinect_12_b02176,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,4.478688361538755e-05,17.07803592365235
development,egobody_recording_20210910_S05_S06_01_extreme_kinect_11_kinect_13_b02971,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,5.884097561836176e-05,17.35236309096217
development,egobody_recording_20210910_S05_S06_01_medium_kinect_12_kinect_11_b02971,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,2.891665526689611e-05,20.276345607824624
development,egobody_recording_20210910_S05_S06_01_small_kinect_12_kinect_13_b02971,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.3190652384254046e-05,17.618669606745243
development,egobody_recording_20210910_S06_S05_01_extreme_kinect_13_kinect_11_b01411,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.6644596667233176e-05,17.21311183925718
development,egobody_recording_20210910_S06_S05_01_medium_kinect_12_kinect_11_b01411,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,2.6776267611873656e-05,16.26816400513053
development,egobody_recording_20210910_S06_S05_01_small_kinect_13_kinect_12_b01411,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,3.274335613799409e-05,16.77150233089924
development,egobody_recording_20210910_S06_S05_02_extreme_kinect_11_kinect_13_b02726,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,2.668875560491367e-05,18.10390604007989
development,egobody_recording_20210910_S06_S05_02_medium_kinect_12_kinect_11_b02726,75,75,0,0,exact,True,True,1,0,1,0,0,150,149,2.3413451016421578e-05,18.84380525164306
