split,method,display_name,is_final_method,case_count,gate_enabled,gate_state,accepted_count,fallback_count,materialized_count,detector_miss_parent_reuse_count,acceptance_rate,missing_gate_case_count,fallback_array_exactness_passed,fallback_array_exactness_observed,fallback_array_audit_missing_count,fallback_array_mismatch_count,fallback_metric_exactness_passed,fallback_metric_exactness_observed,fallback_metric_mismatch_count,accepted_W_harm_over_5pct,accepted_W_harm_over_10pct,accepted_W_harm_over_20pct,worst_accepted_W_ratio,worst_accepted_W_harm_percent,accepted_W_improvement_rate
development,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),False,195,False,Disabled,195,0,195,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,0,0,0,1.0,0.0,0.0
development,v17_harmony_multicue_safe,Bridge3R-v17 MultiCue-Safe,False,195,True,Enabled,168,27,168,27,0.8615384615384616,0,True,Yes,0,0,True,Yes,0,8,7,6,1.5242240735364956,52.42240735364956,0.9404761904761905
development,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",True,195,False,Disabled,195,0,195,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,10,7,1,1.2403872570444638,24.038725704446385,0.9333333333333333
development,v20_gate_r015_t050_b050,v20_gate_r015_t050_b050,False,195,True,Enabled,51,144,51,144,0.26153846153846155,0,True,Yes,0,0,True,Yes,0,3,1,0,1.1478685230600572,14.786852306005716,0.9411764705882353
development,v20_gate_r025_t075_b050,v20_gate_r025_t075_b050,False,195,True,Enabled,132,63,132,63,0.676923076923077,0,True,Yes,0,0,True,Yes,0,6,4,0,1.1591042668202642,15.910426682026424,0.9393939393939394
development,v20_gate_r025_t100_b100,v20_gate_r025_t100_b100,False,195,True,Enabled,157,38,157,38,0.8051282051282052,0,True,Yes,0,0,True,Yes,0,10,7,5,1.456635720598381,45.66357205983811,0.9299363057324841
development,v20_gate_vel_r025_t075_b050,v20_gate_vel_r025_t075_b050,False,195,True,Enabled,132,63,132,63,0.676923076923077,0,True,Yes,0,0,True,Yes,0,6,4,0,1.1796593811681406,17.965938116814062,0.9393939393939394
holdout,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),False,48,False,Disabled,48,0,48,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,0,0,0,1.0,0.0,0.0
holdout,v17_harmony_multicue_safe,Bridge3R-v17 MultiCue-Safe,False,48,True,Enabled,45,3,45,3,0.9375,0,True,Yes,0,0,True,Yes,0,2,1,1,1.2076290502618499,20.762905026184985,0.9333333333333333
holdout,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",True,48,False,Disabled,48,0,48,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,2,1,0,1.1517496472428785,15.174964724287854,0.9583333333333334
holdout,v20_gate_r025_t075_b050,v20_gate_r025_t075_b050,False,48,True,Enabled,32,16,32,16,0.6666666666666666,0,True,Yes,0,0,True,Yes,0,2,1,0,1.1517496472428785,15.174964724287854,0.9375
holdout,v20_gate_vel_r025_t075_b050,v20_gate_vel_r025_t075_b050,False,48,True,Enabled,33,15,33,15,0.6875,0,True,Yes,0,0,True,Yes,0,2,1,0,1.1547180235654257,15.471802356542575,0.9393939393939394
test,v16_0_m15_geometry,Bridge3R geometry parent (causal detector),False,129,False,Disabled,129,0,129,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,0,0,0,1.0,0.0,0.0
test,v19_ungated_translation_b050,"Bridge3R (causal, frozen)",True,129,False,Disabled,129,0,129,0,1.0,0,True,N/A (0 reuse),0,0,True,N/A (0 reuse),0,7,5,5,1.6673457126627507,66.73457126627507,0.937984496124031
