case_id,cluster,angle_stratum,internal_method,internal_method_key,metric,online,internal,internal_advantage
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,PA-MPJPE_mm,53.58141256556734,54.164929076992564,-0.5835165114252234
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,507.96333080326826,501.7549726574017,6.208358145866555
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Anchor-root_mm,444.77646290694645,451.59051745546896,-6.814054548522506
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Orientation_deg,74.5544839146829,49.34601691538561,25.208466999297293
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Seam-root_mm,993.3486273271033,2175.2100143602042,-1181.861387033101
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Seam-orientation_deg,49.85743906540573,89.54671985641959,-39.68928079101386
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Camera-rotation_deg,135.64566656841257,87.56627085066029,48.07939571775228
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Camera-translation_m,9.31534451313369,6.329938739603578,2.985405773530112
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,Human3R,m0_strict_human3r,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,53.58141256556734,53.930436152137474,-0.34902358657013366
aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,507.96333080326826,511.8488773549874,-3.8855465517191305
