case_id,cluster,angle_stratum,internal_method,internal_method_key,metric,online,internal,internal_advantage
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,W-MPJPE_mm,694.0120247871864,967.8702067971666,-273.85818200998017
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,WA-MPJPE_mm,386.4945924160659,554.6160119619798,-168.12141954591385
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,ATE-Sim3_m,2.9109731035034696,0.9320397123063598,1.9789333911971099
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,IDF1,0.0896551724137931,0.4195804195804196,0.32992524716662647
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,Seam-root_m,,4.564989449476803,
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,Human3R,strict_human3r,Coverage,0.17666666666666667,1.0,0.8233333333333334
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,W-MPJPE_mm,694.0120247871864,1474.0534654305716,-780.0414406433852
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,WA-MPJPE_mm,386.4945924160659,468.84176684462864,-82.34717442856271
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,ATE-Sim3_m,2.9109731035034696,1.7127253213876248,1.1982477821158448
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,IDF1,0.0896551724137931,0.5594405594405595,0.46978538702676637
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,Seam-root_m,,1.7836679418889791,
h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,h4d_multicut_10_karate2_001_karate2_cam18_cam15_cam19,,BRIDGE3R,bridge3r,Coverage,0.17666666666666667,1.0,0.8233333333333334
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,W-MPJPE_mm,,3269.18214165118,
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,WA-MPJPE_mm,,1011.4350474845069,
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,ATE-Sim3_m,2.906461366191323,2.9421858278288338,-0.035724461637510974
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,IDF1,0.1111111111111111,0.5813253012048193,0.4702141900937082
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,Seam-root_m,,6.2786336241502205,
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,Human3R,strict_human3r,Coverage,0.19666666666666666,0.94,0.7433333333333333
h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,h4d_multicut_11_karate3_001_karate3_cam18_cam15_cam19,,BRIDGE3R,bridge3r,W-MPJPE_mm,,1545.804328384707,
