line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
21,egobody_recording_20210929_S05_S16_01_small_kinect_12_kinect_13_b02576,recording_20210929_S05_S16_01,,small,success,success,,480.38349056243896,3,,,,,,,,0.0632704268902629,0.11250424422350132,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line021/onlinehmr.evaluation.json,18328
25,egobody_recording_20210929_S05_S16_03_extreme_kinect_11_kinect_13_b01076,recording_20210929_S05_S16_03,,extreme,success,success,,485.40623450279236,3,,,,,,,,0.10947628822428489,0.1938618414540345,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line025/onlinehmr.evaluation.json,18636
26,egobody_recording_20210929_S05_S16_03_medium_kinect_11_kinect_12_b01076,recording_20210929_S05_S16_03,,medium,success,success,,495.40174865722656,3,,,,,,,,0.05080243566660504,0.08735879861998039,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line026/onlinehmr.evaluation.json,18343
27,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,recording_20210929_S05_S16_03,,small,success,success,,480.3943119049072,3,,,,,,,,0.061070354997417246,0.061579681652082205,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line027/onlinehmr.evaluation.json,18340
28,egobody_recording_20210929_S05_S16_04_extreme_kinect_13_kinect_11_b02616,recording_20210929_S05_S16_04,,extreme,success,success,,495.4068386554718,3,,,,,,,,0.11114897518300228,0.11248271773196218,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line028/onlinehmr.evaluation.json,18637
29,egobody_recording_20210929_S05_S16_04_medium_kinect_12_kinect_11_b02616,recording_20210929_S05_S16_04,,medium,success,success,,490.43002009391785,3,,,,,,,,0.05263719283076185,0.09512019786808217,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line029/onlinehmr.evaluation.json,18344
30,egobody_recording_20210929_S05_S16_04_small_kinect_12_kinect_13_b02616,recording_20210929_S05_S16_04,,small,success,success,,485.4005160331726,3,,,,,,,,0.06382817700146842,0.09751238103625444,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line030/onlinehmr.evaluation.json,18331
43,egobody_recording_20211004_S12_S20_02_extreme_kinect_13_kinect_11_b01776,recording_20211004_S12_S20_02,,extreme,success,success,,480.3876576423645,3,,,,,,,,0.11370427068289167,0.15339911696435857,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line043/onlinehmr.evaluation.json,18636
44,egobody_recording_20211004_S12_S20_02_medium_kinect_13_kinect_12_b01776,recording_20211004_S12_S20_02,,medium,success,success,,485.39773082733154,3,,,,,,,,0.05518923347077984,0.0631580518218271,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line044/onlinehmr.evaluation.json,18347
45,egobody_recording_20211004_S12_S20_02_small_kinect_12_kinect_11_b01776,recording_20211004_S12_S20_02,,small,success,success,,495.4060492515564,3,,,,,,,,0.06439783732090469,0.1138294357108695,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line045/onlinehmr.evaluation.json,18342
49,egobody_recording_20211004_S12_S20_04_extreme_kinect_13_kinect_11_b03381,recording_20211004_S12_S20_04,,extreme,success,success,,485.38758516311646,3,,,,,,,,0.11406900150631964,0.13329821184990212,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line049/onlinehmr.evaluation.json,18638
52,egobody_recording_20211004_S20_S12_01_extreme_kinect_13_kinect_11_b02766,recording_20211004_S20_S12_01,,extreme,success,success,,555.4557960033417,3,,,,,,,,0.1140647591824847,0.13525578457091722,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line052/onlinehmr.evaluation.json,18632
53,egobody_recording_20211004_S20_S12_01_medium_kinect_12_kinect_13_b02766,recording_20211004_S20_S12_01,,medium,success,success,,550.4519288539886,3,,,,,,,,0.05641305279696644,0.10811370737488403,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line053/onlinehmr.evaluation.json,18335
54,egobody_recording_20211004_S20_S12_01_small_kinect_12_kinect_11_b02766,recording_20211004_S20_S12_01,,small,success,success,,545.4693629741669,3,,,,,,,,0.06359056753812999,0.11536906292589885,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line054/onlinehmr.evaluation.json,18350
80,egobody_recording_20220225_S27_S26_03_medium_kinect_15_kinect_12_b02455,recording_20220225_S27_S26_03,,medium,success,success,,520.428591966629,3,,,,,,,,0.17477536315298497,0.3650103121758553,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line080/onlinehmr.evaluation.json,18325
