line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
1,ego_test_badminton_001_badminton_large_cam11_cam15_b00301,001_badminton,badminton,large,success,success,,615.5119557380676,11,,,200.84862137227452,107.17737261187091,231.70747375917588,,465.9165295988608,2.71799991845092,6.592954681048302,,,,,,0.05450733752620545,0.0,0.065,0.04693140794223827,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line001/onlinehmr.evaluation.json,11218
2,ego_test_badminton_001_badminton_medium_cam02_cam15_b00301,001_badminton,badminton,medium,success,success,,655.5416679382324,20,,,200.84857197676845,107.17736128904492,231.70743845865348,,412.6149040942486,3.64435508071881,4.135852005594122,,,,,,0.039907904834996163,0.0,0.065,0.028792912513842746,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line002/onlinehmr.evaluation.json,11225
3,ego_test_badminton_001_badminton_small_cam06_cam02_b00301,001_badminton,badminton,small,success,success,,705.5997717380524,25,,,,,,,,0.31242860326396604,0.9306558424080659,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line003/onlinehmr.evaluation.json,10273
4,ego_test_badminton_005_badminton_extreme_cam13_cam01_b00326,005_badminton,badminton,extreme,success,success,,785.6370906829834,25,,,301.5825068693472,109.73472955761932,392.09100653778984,,964.3701416470087,1.341177459939492,8.289473103605527,,,,,,0.03994845360824742,16.0,0.1175,0.04079861111111111,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line004/onlinehmr.evaluation.json,11272
5,ego_test_badminton_005_badminton_large_cam11_cam15_b00326,005_badminton,badminton,large,success,success,,700.5686666965485,13,,,,,,,,1.275028363709832,6.527610595547179,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line005/onlinehmr.evaluation.json,10253
6,ego_test_badminton_005_badminton_medium_cam02_cam15_b00326,005_badminton,badminton,medium,success,success,,755.6375632286072,20,394.1136098402558,284.1354299877591,214.2472167446547,97.73221276688908,295.8364871425701,384.3341267897381,284.1354299877591,1.1280997711825607,4.107279929981452,0.08784582169982069,0.8691727830342707,8.283130965339199,84.88288606520408,,0.002976190476190476,1.0,0.01,0.00423728813559322,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line006/onlinehmr.evaluation.json,12546
7,ego_test_badminton_005_badminton_small_cam02_cam06_b00326,005_badminton,badminton,small,success,success,,840.706214427948,35,394.1136098402558,284.1354299877591,214.2472167446547,97.73221276688908,295.8364871425701,384.3341267897381,284.1354299877591,0.3193637013141654,0.31682703779547305,0.10511479365520943,0.44673385085780065,6.765189050863351,21.723403254598566,,0.002127659574468085,1.0,0.01,0.002702702702702703,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line007/onlinehmr.evaluation.json,12573
8,ego_test_basketball_001_basketball_extreme_cam05_cam04_b00301,001_basketball,basketball,extreme,success,success,,560.4623682498932,8,1364.6658912151615,379.8008896057899,221.63027524153506,164.11384465462643,261.93768300971726,4433.577245271434,712.4652164530319,8.15384197299294,9.137737324208446,0.1867234352324603,1.781468533476873,18.28447517230838,175.79020507866466,,0.06303030303030303,13.0,0.0925,0.08705882352941176,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line008/onlinehmr.evaluation.json,12669
9,ego_test_basketball_001_basketball_large_cam05_cam01_b00301,001_basketball,basketball,large,success,invalid_output,prediction_conversion_failed: exit_status=1,595.4910554885864,10,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line009/onlinehmr.evaluation.json,9267
10,ego_test_basketball_001_basketball_medium_cam01_cam03_b00301,001_basketball,basketball,medium,success,success,,570.4605906009674,8,,,78.549299896563,39.19501005697718,91.70201294113431,,71.60212635720048,5.682541210137729,5.988851216958974,,,,,,0.05562273276904474,0.0,0.0575,0.053864168618266976,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line010/onlinehmr.evaluation.json,11229
11,ego_test_basketball_001_basketball_small_cam06_cam03_b00301,001_basketball,basketball,small,success,success,,585.4993891716003,8,2162.265013114666,852.5938362784125,72.44116277210145,47.79545274065224,88.38657197677762,2187.342304104746,852.5938362784125,3.2524283563945846,3.5242202134829923,0.07418464626603143,0.48196981954753565,7.05538983205752,46.97722925868289,,0.10411622276029056,1.0,0.1125,0.1056338028169014,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line011/onlinehmr.evaluation.json,12648
12,ego_test_basketball_002_basketball_extreme_cam04_cam05_b00301,002_basketball,basketball,extreme,success,success,,545.4782059192657,12,,,,,,,,7.182270408151073,9.128130825169613,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line012/onlinehmr.evaluation.json,10277
13,ego_test_basketball_002_basketball_large_cam01_cam05_b00301,002_basketball,basketball,large,success,success,,565.4886918067932,11,484.62101943626965,268.3768921388523,233.80731235231926,132.6756979134339,275.4813239617205,1755.130867747485,1041.9697628171953,4.195715471360852,7.878181938979115,0.16109998927293087,1.379547980306459,15.7890082872524,135.65103738813983,,0.04962779156327544,2.0,0.08,0.07881773399014778,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line013/onlinehmr.evaluation.json,12571
