angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
,case-macro,W-MPJPE_mm,750.8254205064526,518.7863884044448,1031.1313901079827,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,WA-MPJPE_mm,335.8690206243196,272.104849125017,418.45948365216566,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,MPJPE_mm,240.9099490691439,214.23093936635837,268.03135740790134,69,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,PA-MPJPE_mm,103.98582969401423,94.60448020059293,113.77611513644676,69,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,MPVPE_mm,304.71932979873515,270.65858108070586,338.8097751821193,69,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,AdapterShared-W-MPJPE_mm,1256.1110413840001,1013.4015878525666,1526.8780951691006,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,AdapterShared-WA-MPJPE_mm,380.2247318709115,335.1469295854583,430.69426839993366,69,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,ATE-Sim3_m,1.3643359839415625,1.1650556831951033,1.5691119558651998,88,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,ATE-SE3_m,2.0155735125972516,1.7247442997205462,2.3186646240151036,88,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,RPE-translation_m,0.03126967709209023,0.025832490560860087,0.036881191260436166,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,RPE-rotation_deg,0.5539517762671934,0.42595086856201814,0.6857020931206576,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Camera-seam-translation_m,4.0843610570886035,3.1966758838501006,5.005096453026644,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Camera-seam-rotation_deg,79.09739953595573,59.02764220720476,99.9226750073468,30,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Human-seam_mm,713.390175507525,251.98799380985383,1239.0404155678175,6,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,IDF1,0.06797072604731207,0.04829538698219854,0.09054528589423716,88,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,IDs,7.488636363636363,4.851988636363637,10.715909090909092,88,88,10000,20260903,finite clusters only; no missing-geometry imputation
,case-macro,Coverage,0.15856060606060607,0.11424242424242426,0.2090539772727273,88,88,10000,20260903,finite clusters only; no missing-geometry imputation
